At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""69""","=""Tm I""","=""0""","=""Thulium""","=""Tm""","=""[Xe].4f13.6s2""","=""2F*<7/2>""","=""4f13.6s (7/2,1/2)*<4>""","=""""","=""6.184402""","=""""","=""0.000009""","=""L22274""",
"=""69""","=""Tm II""","=""+1""","=""Thulium""","=""Er""","=""[Xe].4f13.6s""","=""(7/2,1/2)*<4>""","=""4f13.5p6 2F*<7/2>""","=""[""","=""12.065""","=""]""","=""0.020""","=""L19870c180""",
"=""69""","=""Tm III""","=""+2""","=""Thulium""","=""Ho""","=""[Xe].4f13""","=""2F*<7/2>""","=""4f12.5p6 3H<6>""","=""[""","=""23.66""","=""]""","=""0.03""","=""L19883c180""",
"=""69""","=""Tm IV""","=""+3""","=""Thulium""","=""Dy""","=""[Xe].4f12""","=""3H<6>""","=""4f11 4I*<15/2>""","=""[""","=""42.41""","=""]""","=""0.04""","=""L19883c180""",
"=""69""","=""Tm V""","=""+4""","=""Thulium""","=""Tb""","=""[Xe].4f11""","=""4I*<15/2>""","=""4f11.5p5 5I<8>""","=""[""","=""65.4""","=""]""","=""0.3""","=""L4095""",
"=""69""","=""Tm VI""","=""+5""","=""Thulium""","=""Gd""","=""[Cd].4f11.5p5""","=""5I<8>""","=""4f11.5p4*""","=""(""","=""98""","="")""","=""5""","=""L582""",
"=""69""","=""Tm VII""","=""+6""","=""Thulium""","=""Eu""","=""[Cd].4f11.5p4""","=""*""","=""4f11.5p3""","=""(""","=""116""","="")""","=""6""","=""L582""",
"=""69""","=""Tm VIII""","=""+7""","=""Thulium""","=""Sm""","=""[Cd].4f11.5p3""","=""""","=""4f11.5s2.5p2*""","=""(""","=""133""","="")""","=""7""","=""L582""",
"=""69""","=""Tm IX""","=""+8""","=""Thulium""","=""Pm""","=""[Cd].4f11.5p2""","=""*""","=""4f11.5s2.5p""","=""(""","=""160""","="")""","=""8""","=""L582""",
"=""69""","=""Tm X""","=""+9""","=""Thulium""","=""Nd""","=""[Cd].4f11.5p""","=""""","=""4f11.5s2 4I*<15/2>""","=""(""","=""180""","="")""","=""9""","=""L582""",
"=""69""","=""Tm XI""","=""+10""","=""Thulium""","=""Pr""","=""[Cd].4f11""","=""4I*<15/2>""","=""4f10.5s2""","=""(""","=""205""","="")""","=""10""","=""L582""",
"=""69""","=""Tm XII""","=""+11""","=""Thulium""","=""Ce""","=""[Cd].4f10""","=""""","=""4f9.5s2*""","=""(""","=""239""","="")""","=""12""","=""L582""",
"=""69""","=""Tm XIII""","=""+12""","=""Thulium""","=""La""","=""[Cd].4f9""","=""*""","=""4f9.5s*""","=""(""","=""274""","="")""","=""14""","=""L582""",
"=""69""","=""Tm XIV""","=""+13""","=""Thulium""","=""Ba""","=""[Kr].4d10.4f9.5s""","=""*""","=""4f9 6H*<15/2>""","=""(""","=""295""","="")""","=""15""","=""L582""",
"=""69""","=""Tm XV""","=""+14""","=""Thulium""","=""Cs""","=""[Kr].4d10.4f9""","=""6H*<15/2>""","=""4f8 7F<6>""","=""(""","=""317""","="")""","=""16""","=""L582""",
"=""69""","=""Tm XVI""","=""+15""","=""Thulium""","=""Xe""","=""[Kr].4d10.4f8""","=""7F<6>""","=""4f7 8S*<7/2>""","=""(""","=""352""","="")""","=""17""","=""L582""",
"=""69""","=""Tm XVII""","=""+16""","=""Thulium""","=""I""","=""[Kr].4d10.4f7""","=""8S*<7/2>""","=""4f6 7F<0>""","=""(""","=""387""","="")""","=""20""","=""L582""",
"=""69""","=""Tm XVIII""","=""+17""","=""Thulium""","=""Te""","=""[Kr].4d10.4f6""","=""7F0""","=""4f5 6H*<5/2>""","=""(""","=""424""","="")""","=""21""","=""L582""",
"=""69""","=""Tm XIX""","=""+18""","=""Thulium""","=""Sb""","=""[Kr].4d10.4f5""","=""6H*<5/2>""","=""4f4 5I<4>""","=""(""","=""460""","="")""","=""24""","=""L582""",
"=""69""","=""Tm XX""","=""+19""","=""Thulium""","=""Sn""","=""[Kr].4d10.4f4""","=""5I<4>""","=""4f3 4I*<9/2>""","=""(""","=""496""","="")""","=""25""","=""L582""",
