At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""70""","=""Yb I""","=""0""","=""Ytterbium""","=""Yb""","=""[Xe].4f14.6s2""","=""1S0""","=""6s 2S<1/2>""","=""""","=""6.254160""","=""""","=""0.000012""","=""L4980""",
"=""70""","=""Yb II""","=""+1""","=""Ytterbium""","=""Tm""","=""[Xe].4f14.6s""","=""2S<1/2>""","=""4f14 1S<0>""","=""""","=""12.179185""","=""""","=""0.000025""","=""L12907""",
"=""70""","=""Yb III""","=""+2""","=""Ytterbium""","=""Er""","=""[Xe].4f14""","=""1S0""","=""4f13.5p6 2F*<7/2>""","=""[""","=""25.053""","=""]""","=""0.025""","=""L3974,L3654""",
"=""70""","=""Yb IV""","=""+3""","=""Ytterbium""","=""Ho""","=""[Xe].4f13""","=""2F*<7/2>""","=""4f12.5p6 3H<6>""","=""[""","=""43.61""","=""]""","=""0.04""","=""L19883c180""",
"=""70""","=""Yb V""","=""+4""","=""Ytterbium""","=""Dy""","=""[Xe].4f12""","=""3H<6>""","=""4f12.5p5*""","=""[""","=""65.6""","=""]""","=""0.3""","=""L4095""",
"=""70""","=""Yb VI""","=""+5""","=""Ytterbium""","=""Tb""","=""[Cd].4f12.5p5""","=""*""","=""4f12.5p4""","=""(""","=""99""","="")""","=""5""","=""L582""",
"=""70""","=""Yb VII""","=""+6""","=""Ytterbium""","=""Gd""","=""[Cd].4f12.5p4""","=""""","=""4f12.5p3*""","=""(""","=""117""","="")""","=""6""","=""L582""",
"=""70""","=""Yb VIII""","=""+7""","=""Ytterbium""","=""Eu""","=""[Cd].4f12.5p3""","=""*""","=""4f12.5p2""","=""(""","=""135""","="")""","=""7""","=""L582""",
"=""70""","=""Yb IX""","=""+8""","=""Ytterbium""","=""Sm""","=""[Cd].4f12.5p2""","=""""","=""4f12.5s2.5p*""","=""(""","=""163""","="")""","=""8""","=""L582""",
"=""70""","=""Yb X""","=""+9""","=""Ytterbium""","=""Pm""","=""[Cd].4f12.5p""","=""*""","=""4f12.5s2 3H<6>""","=""(""","=""182""","="")""","=""9""","=""L582""",
"=""70""","=""Yb XI""","=""+10""","=""Ytterbium""","=""Nd""","=""[Cd].4f12""","=""3H<6>""","=""4f11.5s2 4I*<15/2>""","=""(""","=""209""","="")""","=""10""","=""L582""",
"=""70""","=""Yb XII""","=""+11""","=""Ytterbium""","=""Pr""","=""[Cd].4f11""","=""4I*<15/2>""","=""4f10.5s2""","=""(""","=""244""","="")""","=""12""","=""L582""",
"=""70""","=""Yb XIII""","=""+12""","=""Ytterbium""","=""Ce""","=""[Cd].4f10""","=""""","=""4f10.5s""","=""(""","=""279""","="")""","=""14""","=""L582""",
"=""70""","=""Yb XIV""","=""+13""","=""Ytterbium""","=""La""","=""[Kr].4d10.4f10.5s""","=""""","=""4f10""","=""(""","=""301""","="")""","=""15""","=""L582""",
"=""70""","=""Yb XV""","=""+14""","=""Ytterbium""","=""Ba""","=""[Kr].4d10.4f10""","=""""","=""4f9 6H*<15/2>""","=""(""","=""324""","="")""","=""16""","=""L582""",
"=""70""","=""Yb XVI""","=""+15""","=""Ytterbium""","=""Cs""","=""[Kr].4d10.4f9""","=""6H*<15/2>""","=""4f8 7F<6>""","=""(""","=""360""","="")""","=""19""","=""L582""",
"=""70""","=""Yb XVII""","=""+16""","=""Ytterbium""","=""Xe""","=""[Kr].4d10.4f8""","=""7F<6>""","=""4f7 8S*<7/2>""","=""(""","=""396""","="")""","=""20""","=""L582""",
"=""70""","=""Yb XVIII""","=""+17""","=""Ytterbium""","=""I""","=""[Kr].4d10.4f7""","=""8S*<7/2>""","=""4f6 7F<0>""","=""(""","=""431""","="")""","=""21""","=""L582""",
