At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""71""","=""Lu I""","=""0""","=""Lutetium""","=""Lu""","=""[Xe].4f14.5d.6s2""","=""2D<3/2>""","=""6s2 1S<0>""","=""""","=""5.425871""","=""""","=""0.000012""","=""L10494,L1638""",
"=""71""","=""Lu II""","=""+1""","=""Lutetium""","=""Yb""","=""[Xe].4f14.6s2""","=""1S0""","=""6s 2S<1/2>""","=""[""","=""14.13""","=""]""","=""0.05""","=""L19870c180""",
"=""71""","=""Lu III""","=""+2""","=""Lutetium""","=""Tm""","=""[Xe].4f14.6s""","=""2S<1/2>""","=""4f14 1S<0>""","=""""","=""20.9594""","=""""","=""0.0012""","=""L1402""",
"=""71""","=""Lu IV""","=""+3""","=""Lutetium""","=""Er""","=""[Xe].4f14""","=""1S0""","=""4f13.5p6 2F*<7/2>""","=""[""","=""45.249""","=""]""","=""0.025""","=""L3974,L3654""",
"=""71""","=""Lu V""","=""+4""","=""Lutetium""","=""Ho""","=""[Xe].4f13""","=""2F*<7/2>""","=""4f12.5p6 3H<6>""","=""[""","=""66.8""","=""]""","=""0.3""","=""L4095""",
"=""71""","=""Lu VI""","=""+5""","=""Lutetium""","=""Dy""","=""[Xe].4f12""","=""3H<6>""","=""4f13.5p4*""","=""(""","=""98""","="")""","=""5""","=""L582""",
"=""71""","=""Lu VII""","=""+6""","=""Lutetium""","=""Tb""","=""[Cd].4f13.5p4""","=""*""","=""4f13.5p3""","=""(""","=""117""","="")""","=""6""","=""L582""",
"=""71""","=""Lu VIII""","=""+7""","=""Lutetium""","=""Gd""","=""[Cd].4f13.5p3""","=""""","=""4f13.5p2 4F*<7/2>""","=""(""","=""136""","="")""","=""7""","=""L582""",
"=""71""","=""Lu IX""","=""+8""","=""Lutetium""","=""Eu""","=""[Cd].4f13.5p2""","=""4F*<7/2>""","=""4f12.5p2""","=""(""","=""159""","="")""","=""8""","=""L582""",
"=""71""","=""Lu X""","=""+9""","=""Lutetium""","=""Sm""","=""[Cd].4f12.5p2""","=""""","=""4f12.5s2.5p*""","=""(""","=""185""","="")""","=""9""","=""L582""",
"=""71""","=""Lu XI""","=""+10""","=""Lutetium""","=""Pm""","=""[Cd].4f12.5p""","=""*""","=""4f12.5s2 3H<6>""","=""(""","=""205""","="")""","=""10""","=""L582""",
"=""71""","=""Lu XII""","=""+11""","=""Lutetium""","=""Nd""","=""[Cd].4f12""","=""3H<6>""","=""4f11.5s2 4I*<15/2>""","=""(""","=""238""","="")""","=""12""","=""L582""",
"=""71""","=""Lu XIII""","=""+12""","=""Lutetium""","=""Pr""","=""[Cd].4f11""","=""4I*<15/2>""","=""4f10.5s2""","=""(""","=""276""","="")""","=""14""","=""L582""",
"=""71""","=""Lu XIV""","=""+13""","=""Lutetium""","=""Ce""","=""[Cd].4f10""","=""""","=""4f10.5s""","=""(""","=""305""","="")""","=""15""","=""L582""",
"=""71""","=""Lu XV""","=""+14""","=""Lutetium""","=""La""","=""[Kr].4d10.4f10.5s""","=""""","=""4f10""","=""(""","=""328""","="")""","=""16""","=""L582""",
"=""71""","=""Lu XVI""","=""+15""","=""Lutetium""","=""Ba""","=""[Kr].4d10.4f10""","=""""","=""4f9 6H*<15/2>""","=""(""","=""361""","="")""","=""19""","=""L582""",
"=""71""","=""Lu XVII""","=""+16""","=""Lutetium""","=""Cs""","=""[Kr].4d10.4f9""","=""6H*<15/2>""","=""4f8 7F<6>""","=""(""","=""399""","="")""","=""20""","=""L582""",
"=""71""","=""Lu XVIII""","=""+17""","=""Lutetium""","=""Xe""","=""[Kr].4d10.4f8""","=""7F<6>""","=""4f7 8S*<7/2>""","=""(""","=""438""","="")""","=""22""","=""L582""",
"=""71""","=""Lu XIX""","=""+18""","=""Lutetium""","=""I""","=""[Kr].4d10.4f7""","=""8S*<7/2>""","=""4f6 7F<0>""","=""(""","=""476""","="")""","=""24""","=""L582""",
"=""71""","=""Lu XX""","=""+19""","=""Lutetium""","=""Te""","=""[Kr].4d10.4f6""","=""7F0""","=""4f5 6H*<5/2>""","=""(""","=""520""","="")""","=""30""","=""L582""",
"=""71""","=""Lu XXI""","=""+20""","=""Lutetium""","=""Sb""","=""[Kr].4d10.4f5""","=""6H*<5/2>""","=""4f4 5I<4>""","=""(""","=""560""","="")""","=""30""","=""L582""",
"=""71""","=""Lu XXII""","=""+21""","=""Lutetium""","=""Sn""","=""[Kr].4d10.4f4""","=""5I<4>""","=""4f3 4I*<9/2>""","=""(""","=""600""","="")""","=""30""","=""L582""",
"=""71""","=""Lu XXIII""","=""+22""","=""Lutetium""","=""In""","=""[Kr].4d10.4f3""","=""4I*<9/2>""","=""4f2 3H<4>""","=""(""","=""630""","="")""","=""30""","=""L582""",
"=""71""","=""Lu XXIV""","=""+23""","=""Lutetium""","=""Cd""","=""[Kr].4d10.4f2""","=""3H<4>""","=""4f 2F*<5/2>""","=""(""","=""670""","="")""","=""30""","=""L582""",
"=""71""","=""Lu XXV""","=""+24""","=""Lutetium""","=""Ag""","=""[Kr].4d10.4f""","=""2F*<5/2>""","=""4d10 1S<0>""","=""(""","=""713""","="")""","=""7""","=""L582c99""",
"=""71""","=""Lu XXVI""","=""+25""","=""Lutetium""","=""Pd""","=""[Kr].4d10""","=""1S0""","=""4d9 2D<5/2>""","=""(""","=""941""","="")""","=""4""","=""L8672c99""",
"=""71""","=""Lu XXVII""","=""+26""","=""Lutetium""","=""Rh""","=""[Kr].4d9""","=""2D<5/2>""","=""4d8 3F<4>""","=""(""","=""985""","="")""","=""4""","=""L8672c99""",
"=""71""","=""Lu XXVIII""","=""+27""","=""Lutetium""","=""Ru""","=""[Kr].4d8""","=""3F<4>""","=""4d7 4F<9/2>""","=""(""","=""1032""","="")""","=""4""","=""L8672c99""",
"=""71""","=""Lu XXIX""","=""+28""","=""Lutetium""","=""Tc""","=""[Kr].4d7""","=""4F<9/2>""","=""4d6 5D<4>""","=""(""","=""1081""","="")""","=""4""","=""L8672c99""",
