At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""72""","=""Hf I""","=""0""","=""Hafnium""","=""Hf""","=""[Xe].4f14.5d2.6s2""","=""3F<2>""","=""5d.6s2 2D<3/2>""","=""""","=""6.825070""","=""""","=""0.000012""","=""L14027,L10033""",
"=""72""","=""Hf II""","=""+1""","=""Hafnium""","=""Lu""","=""[Xe].4f14.5d.6s2""","=""2D<3/2>""","=""5d2 3F<2>""","=""(""","=""14.61""","="")""","=""0.04""","=""L19691""",
"=""72""","=""Hf III""","=""+2""","=""Hafnium""","=""Yb""","=""[Xe].4f14.5d2""","=""3F<2>""","=""5d 2D<3/2>""","=""(""","=""22.55""","="")""","=""0.04""","=""L19691""",
"=""72""","=""Hf IV""","=""+3""","=""Hafnium""","=""Tm""","=""[Xe].4f14.5d""","=""2D<3/2>""","=""4f14 1S<0>""","=""[""","=""33.370""","=""]""","=""0.025""","=""L3654""",
"=""72""","=""Hf V""","=""+4""","=""Hafnium""","=""Er""","=""[Xe].4f14""","=""1S0""","=""4f13.5p6 2F*<7/2>""","=""[""","=""68.37""","=""]""","=""0.04""","=""L3654""",
"=""72""","=""Hf VI""","=""+5""","=""Hafnium""","=""Ho""","=""[Xe].4f13""","=""2F*<7/2>""","=""4f13.5p5""","=""(""","=""98""","="")""","=""5""","=""L582""",
"=""72""","=""Hf VII""","=""+6""","=""Hafnium""","=""Dy""","=""[Cd].4f13.5p5""","=""""","=""4f13.5p4*""","=""(""","=""118""","="")""","=""6""","=""L582""",
"=""72""","=""Hf VIII""","=""+7""","=""Hafnium""","=""Tb""","=""[Cd].4f13.5p4""","=""*""","=""4f13.5p3""","=""(""","=""137""","="")""","=""7""","=""L582""",
"=""72""","=""Hf IX""","=""+8""","=""Hafnium""","=""Gd""","=""[Cd].4f13.5p3""","=""""","=""4f13.5p2 4F*<7/2>""","=""(""","=""157""","="")""","=""8""","=""L582""",
"=""72""","=""Hf X""","=""+9""","=""Hafnium""","=""Eu""","=""[Cd].4f13.5p2""","=""4F*<7/2>""","=""4f12.5p2""","=""(""","=""187""","="")""","=""9""","=""L582""",
"=""72""","=""Hf XI""","=""+10""","=""Hafnium""","=""Sm""","=""[Cd].4f12.5p2""","=""""","=""4f12.5s2.5p*""","=""(""","=""209""","="")""","=""10""","=""L582""",
"=""72""","=""Hf XII""","=""+11""","=""Hafnium""","=""Pm""","=""[Cd].4f12.5p""","=""*""","=""4f12.5s2 3H<6>""","=""(""","=""230""","="")""","=""12""","=""L582""",
"=""72""","=""Hf XIII""","=""+12""","=""Hafnium""","=""Nd""","=""[Cd].4f12""","=""3H<6>""","=""4f11.5s2 4I*<15/2>""","=""(""","=""270""","="")""","=""14""","=""L582""",
"=""72""","=""Hf XIV""","=""+13""","=""Hafnium""","=""Pr""","=""[Cd].4f11""","=""4I*<15/2>""","=""4f11.5s 5I*<4>""","=""(""","=""310""","="")""","=""15""","=""L582""",
"=""72""","=""Hf XV""","=""+14""","=""Hafnium""","=""Ce""","=""[Kr].4d10.4f11.5s""","=""5I*<8>""","=""4f11*""","=""(""","=""334""","="")""","=""16""","=""L582""",
"=""72""","=""Hf XVI""","=""+15""","=""Hafnium""","=""La""","=""[Kr].4d10.4f11""","=""*""","=""4f10""","=""(""","=""359""","="")""","=""17""","=""L582""",
"=""72""","=""Hf XVII""","=""+16""","=""Hafnium""","=""Ba""","=""[Kr].4d10.4f10""","=""""","=""4f9 6H*<15/2>""","=""(""","=""399""","="")""","=""20""","=""L582""",
"=""72""","=""Hf XVIII""","=""+17""","=""Hafnium""","=""Cs""","=""[Kr].4d10.4f9""","=""6H*<15/2>""","=""4f8 7F<6>""","=""(""","=""440""","="")""","=""22""","=""L582""",
"=""72""","=""Hf XIX""","=""+18""","=""Hafnium""","=""Xe""","=""[Kr].4d10.4f8""","=""7F<6>""","=""4f7 8S*<7/2>""","=""(""","=""481""","="")""","=""24""","=""L582""",
"=""72""","=""Hf XX""","=""+19""","=""Hafnium""","=""I""","=""[Kr].4d10.4f7""","=""8S*<7/2>""","=""4f6 7F<0>""","=""(""","=""520""","="")""","=""30""","=""L582""",
"=""72""","=""Hf XXI""","=""+20""","=""Hafnium""","=""Te""","=""[Kr].4d10.4f6""","=""7F0""","=""4f5 6H*<5/2>""","=""(""","=""570""","="")""","=""30""","=""L582""",
"=""72""","=""Hf XXII""","=""+21""","=""Hafnium""","=""Sb""","=""[Kr].4d10.4f5""","=""6H*<5/2>""","=""4f4 5I<4>""","=""(""","=""610""","="")""","=""30""","=""L582""",
"=""72""","=""Hf XXIII""","=""+22""","=""Hafnium""","=""Sn""","=""[Kr].4d10.4f4""","=""5I<4>""","=""4f3 4I*<9/2>""","=""(""","=""650""","="")""","=""30""","=""L582""",
"=""72""","=""Hf XXIV""","=""+23""","=""Hafnium""","=""In""","=""[Kr].4d10.4f3""","=""4I*<9/2>""","=""4f2 3H<4>""","=""(""","=""690""","="")""","=""30""","=""L582""",
"=""72""","=""Hf XXV""","=""+24""","=""Hafnium""","=""Cd""","=""[Kr].4d10.4f2""","=""3H<4>""","=""4f 2F*<5/2>""","=""(""","=""730""","="")""","=""40""","=""L582""",
"=""72""","=""Hf XXVI""","=""+25""","=""Hafnium""","=""Ag""","=""[Kr].4d10.4f""","=""2F*<5/2>""","=""4d10 1S<0>""","=""(""","=""772""","="")""","=""9""","=""L582c99""",
"=""72""","=""Hf XXVII""","=""+26""","=""Hafnium""","=""Pd""","=""[Kr].4d10""","=""1S0""","=""4d9 2D<5/2>""","=""(""","=""1002""","="")""","=""4""","=""L8672c99""",
"=""72""","=""Hf XXVIII""","=""+27""","=""Hafnium""","=""Rh""","=""[Kr].4d9""","=""2D<5/2>""","=""4d8 3F<4>""","=""(""","=""1047""","="")""","=""4""","=""L8672c99""",
"=""72""","=""Hf XXIX""","=""+28""","=""Hafnium""","=""Ru""","=""[Kr].4d8""","=""3F<4>""","=""4d7 4F<9/2>""","=""(""","=""1094""","="")""","=""4""","=""L8672c99""",
"=""72""","=""Hf XXX""","=""+29""","=""Hafnium""","=""Tc""","=""[Kr].4d7""","=""4F<9/2>""","=""4d6 5D<4>""","=""(""","=""1146""","="")""","=""4""","=""L8672c99""",
"=""72""","=""Hf XXXI""","=""+30""","=""Hafnium""","=""Mo""","=""[Kr].4d6""","=""5D<4>""","=""4d5 6S<5/2>""","=""(""","=""1195""","="")""","=""4""","=""L8672c99""",
"=""72""","=""Hf XXXII""","=""+31""","=""Hafnium""","=""Nb""","=""[Kr].4d5""","=""6S<5/2>""","=""4d4 5D<0>""","=""(""","=""1245""","="")""","=""4""","=""L8672c99""",
"=""72""","=""Hf XXXIII""","=""+32""","=""Hafnium""","=""Zr""","=""[Kr].4d4""","=""5D0""","=""4d3 4F<3/2>""","=""(""","=""1311""","="")""","=""4""","=""L8672c99""",
"=""72""","=""Hf XXXIV""","=""+33""","=""Hafnium""","=""Y""","=""[Kr].4d3""","=""4F<3/2>""","=""4d2 3F<2>""","=""(""","=""1362""","="")""","=""5""","=""L8672c99""",
"=""72""","=""Hf XXXV""","=""+34""","=""Hafnium""","=""Sr""","=""[Kr].4d2""","=""3F<2>""","=""4d 2D<3/2>""","=""(""","=""1417""","="")""","=""5""","=""L8672c99""",
"=""72""","=""Hf XXXVI""","=""+35""","=""Hafnium""","=""Rb""","=""[Kr].4d""","=""2D<3/2>""","=""4p6 1S<0>""","=""(""","=""1467""","="")""","=""5""","=""L8672c99""",
"=""72""","=""Hf XXXVII""","=""+36""","=""Hafnium""","=""Kr""","=""[Ar].3d10.4s2.4p6""","=""1S0""","=""4p5 2P*<3/2>""","=""(""","=""1669""","="")""","=""5""","=""L8672c99""",
"=""72""","=""Hf XXXVIII""","=""+37""","=""Hafnium""","=""Br""","=""[Ar].3d10.4s2.4p5""","=""2P*<3/2>""","=""4p4 3P<2>""","=""(""","=""1719""","="")""","=""4""","=""L8672c99""",
"=""72""","=""Hf XXXIX""","=""+38""","=""Hafnium""","=""Se""","=""[Ar].3d10.4s2.4p4""","=""3P<2>""","=""4p3 4S*<3/2>""","=""(""","=""1776""","="")""","=""4""","=""L8672c99""",
"=""72""","=""Hf XL""","=""+39""","=""Hafnium""","=""As""","=""[Ar].3d10.4s2.4p3""","=""4S*<3/2>""","=""4p2 3P<0>""","=""(""","=""1827""","="")""","=""4""","=""L8672c99""",
"=""72""","=""Hf XLI""","=""+40""","=""Hafnium""","=""Ge""","=""[Ar].3d10.4s2.4p2""","=""3P0""","=""4p 2P*<1/2>""","=""(""","=""1963""","="")""","=""4""","=""L8672c99""",
"=""72""","=""Hf XLII""","=""+41""","=""Hafnium""","=""Ga""","=""[Ar].3d10.4s2.4p""","=""2P*<1/2>""","=""4s2 1S<0>""","=""(""","=""2022""","="")""","=""4""","=""L8672c99""",
"=""72""","=""Hf XLIII""","=""+42""","=""Hafnium""","=""Zn""","=""[Ar].3d10.4s2""","=""1S0""","=""4s 2S<1/2>""","=""(""","=""2159""","="")""","=""4""","=""L8672c99""",
"=""72""","=""Hf XLIV""","=""+43""","=""Hafnium""","=""Cu""","=""[Ar].3d10.4s""","=""2S<1/2>""","=""3d10 1S<0>""","=""[""","=""2218.9""","=""]""","=""1.1""","=""L10278""",
"=""72""","=""Hf XLV""","=""+44""","=""Hafnium""","=""Ni""","=""[Ar].3d10""","=""1S0""","=""3d9 2D<5/2>""","=""(""","=""3741""","="")""","=""4""","=""L8672c99""",
"=""72""","=""Hf XLVI""","=""+45""","=""Hafnium""","=""Co""","=""[Ar].3d9""","=""2D<5/2>""","=""3d8 3F<4>""","=""(""","=""3858""","="")""","=""4""","=""L8672c99""",
"=""72""","=""Hf XLVII""","=""+46""","=""Hafnium""","=""Fe""","=""[Ar].3d8""","=""3F<4>""","=""3d7 4F<9/2>""","=""(""","=""3984""","="")""","=""4""","=""L8672c99""",
"=""72""","=""Hf XLVIII""","=""+47""","=""Hafnium""","=""Mn""","=""[Ar].3d7""","=""4F<9/2>""","=""3d-4.3d+2 (0,4)<4>""","=""(""","=""4118""","="")""","=""4""","=""L8672c99""",
"=""72""","=""Hf XLIX""","=""+48""","=""Hafnium""","=""Cr""","=""[Ar].3d6""","=""(0,4)<4>""","=""3d-4.3d+ (0,5/2)<5/2>""","=""(""","=""4246""","="")""","=""4""","=""L8672c99""",
"=""72""","=""Hf L""","=""+49""","=""Hafnium""","=""V""","=""[Ar].3d5""","=""(0,5/2)<5/2>""","=""3d4 5D<0>""","=""(""","=""4372""","="")""","=""4""","=""L8672c99""",
"=""72""","=""Hf LI""","=""+50""","=""Hafnium""","=""Ti""","=""[Ar].3d4""","=""5D0""","=""3d3 4F<3/2>""","=""(""","=""4573""","="")""","=""4""","=""L8672c99""",
"=""72""","=""Hf LII""","=""+51""","=""Hafnium""","=""Sc""","=""[Ar].3d3""","=""4F<3/2>""","=""3d2 3F<2>""","=""(""","=""4703""","="")""","=""4""","=""L8672c99""",
"=""72""","=""Hf LIII""","=""+52""","=""Hafnium""","=""Ca""","=""[Ar].3d2""","=""3F<2>""","=""3d 2D<3/2>""","=""(""","=""4846""","="")""","=""4""","=""L8672c99""",
"=""72""","=""Hf LIV""","=""+53""","=""Hafnium""","=""K""","=""[Ar].3d""","=""2D<3/2>""","=""3p6 1S<0>""","=""(""","=""4980""","="")""","=""5""","=""L8672c99""",
"=""72""","=""Hf LV""","=""+54""","=""Hafnium""","=""Ar""","=""[Ne].3s2.3p6""","=""1S0""","=""3p5 2P*<3/2>""","=""(""","=""5350""","="")""","=""5""","=""L8672c99""",
"=""72""","=""Hf LVI""","=""+55""","=""Hafnium""","=""Cl""","=""[Ne].3s2.3p5""","=""2P*<3/2>""","=""3p4 3P<2>""","=""(""","=""5468""","="")""","=""5""","=""L8672c99""",
"=""72""","=""Hf LVII""","=""+56""","=""Hafnium""","=""S""","=""[Ne].3s2.3p4""","=""3P<2>""","=""3p3 2P*<3/2>""","=""(""","=""5595""","="")""","=""5""","=""L8672c99""",
"=""72""","=""Hf LVIII""","=""+57""","=""Hafnium""","=""P""","=""[Ne].3s2.3p3""","=""2P*<3/2>""","=""3p2 3P<0>""","=""(""","=""5713""","="")""","=""6""","=""L8672c99""",
"=""72""","=""Hf LIX""","=""+58""","=""Hafnium""","=""Si""","=""[Ne].3s2.3p2""","=""3P0""","=""3p 2P*<1/2>""","=""(""","=""6149""","="")""","=""6""","=""L8672c99""",
"=""72""","=""Hf LX""","=""+59""","=""Hafnium""","=""Al""","=""[Ne].3s2.3p""","=""2P*<1/2>""","=""3s2 1S<0>""","=""(""","=""6284""","="")""","=""7""","=""L8672c99""",
"=""72""","=""Hf LXI""","=""+60""","=""Hafnium""","=""Mg""","=""[Ne].3s2""","=""1S0""","=""3s 2S<1/2>""","=""(""","=""6545""","="")""","=""10""","=""L8672c99""",
"=""72""","=""Hf LXII""","=""+61""","=""Hafnium""","=""Na""","=""[Ne].3s""","=""2S<1/2>""","=""2p6 1S<0>""","=""(""","=""6674""","="")""","=""12""","=""L8672c99""",
"=""72""","=""Hf LXIII""","=""+62""","=""Hafnium""","=""Ne""","=""1s2.2s2.2p6""","=""1S0""","=""2p5 2P*<3/2>""","=""(""","=""14678""","="")""","=""15""","=""L8672c99""",
"=""72""","=""Hf LXIV""","=""+63""","=""Hafnium""","=""F""","=""1s2.2s2.2p5""","=""2P*<3/2>""","=""2p4 3P<2>""","=""(""","=""14999""","="")""","=""19""","=""L8672c99""",
"=""72""","=""Hf LXV""","=""+64""","=""Hafnium""","=""O""","=""1s2.2s2.2p4""","=""3P<2>""","=""2p2<1/2>.2p<3/2> (0,3/2)*<3/2>""","=""(""","=""15351""","="")""","=""24""","=""L8672c99""",
"=""72""","=""Hf LXVI""","=""+65""","=""Hafnium""","=""N""","=""1s2.2s2.2p3""","=""(0,3/2)*<3/2>""","=""2p2 3P<0>""","=""(""","=""15680""","="")""","=""30""","=""L8672c99""",
"=""72""","=""Hf LXVII""","=""+66""","=""Hafnium""","=""C""","=""1s2.2s2.2p2""","=""3P0""","=""2p 2P*<1/2>""","=""(""","=""17280""","="")""","=""40""","=""L8672c99""",
"=""72""","=""Hf LXVIII""","=""+67""","=""Hafnium""","=""B""","=""1s2.2s2.2p""","=""2P*<1/2>""","=""2s2 1S<0>""","=""(""","=""17680""","="")""","=""40""","=""L8672c99""",
"=""72""","=""Hf LXIX""","=""+68""","=""Hafnium""","=""Be""","=""1s2.2s2""","=""1S0""","=""2s 2S<1/2>""","=""(""","=""18180""","="")""","=""50""","=""L8672c99""",
"=""72""","=""Hf LXX""","=""+69""","=""Hafnium""","=""Li""","=""1s2.2s""","=""2S<1/2>""","=""1s2 1S<0>""","=""(""","=""18502.32""","="")""","=""0.17""","=""L16264c99""",
"=""72""","=""Hf LXXI""","=""+70""","=""Hafnium""","=""He""","=""1s2""","=""1S0""","=""1s 2S<1/2>""","=""(""","=""74565.91""","="")""","=""0.16""","=""L21139""",
"=""72""","=""Hf LXXII""","=""+71""","=""Hafnium""","=""H""","=""1s""","=""2S<1/2>""","=""""","=""(""","=""76077.70""","="")""","=""0.11""","=""L19200""",
Notes:
(a) Designations used in the ground shell lists:
     [Ne] = 1s2.2s2.2p6
     [Ar] = 1s2.2s2.2p6.3s2.3p6
     [Kr] = 1s2.2s2.2p6.3s2.3p6.3d10.4s2.4p6
     [Cd] = 1s2.2s2.2p6.3s2.3p6.3d10.4s2.4p6.4d10.5s2
     [Xe] = 1s2.2s2.2p6.3s2.3p6.3d10.4s2.4p6.4d10.5s2.5p6
