At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""73""","=""Ta I""","=""0""","=""Tantalum""","=""Ta""","=""[Xe].4f14.5d3.6s2""","=""4F<3/2>""","=""5d3.6s 5F<1>""","=""""","=""7.549571""","=""""","=""0.000025""","=""L13153""",
"=""73""","=""Ta II""","=""+1""","=""Tantalum""","=""Hf""","=""[Xe].4f14.5d3.6s""","=""5F<1>""","=""5d3 4F<3/2>""","=""[""","=""16.2""","=""]""","=""0.5""","=""L16139""",
"=""73""","=""Ta III""","=""+2""","=""Tantalum""","=""Lu""","=""[Xe].4f14.5d3""","=""4F<3/2>""","=""5d2 3F<2>""","=""(""","=""23.1""","="")""","=""1.6""","=""L8672c99""",
"=""73""","=""Ta IV""","=""+3""","=""Tantalum""","=""Yb""","=""[Xe].4f14.5d2""","=""3F<2>""","=""5d 2D<3/2>""","=""(""","=""35.0""","="")""","=""1.7""","=""L8672c99""",
"=""73""","=""Ta V""","=""+4""","=""Tantalum""","=""Tm""","=""[Xe].4f14.5d""","=""2D<3/2>""","=""4f14 1S<0>""","=""[""","=""48.272""","=""]""","=""0.025""","=""L3654""",
"=""73""","=""Ta VI""","=""+5""","=""Tantalum""","=""Er""","=""[Xe].4f14""","=""1S0""","=""4f13.5p6 2F*<7/2>""","=""[""","=""94.01""","=""]""","=""0.05""","=""L3654""",
"=""73""","=""Ta VII""","=""+6""","=""Tantalum""","=""Ho""","=""[Xe].4f13""","=""2F*<7/2>""","=""4f13.5p5""","=""(""","=""119""","="")""","=""6""","=""L582""",
"=""73""","=""Ta VIII""","=""+7""","=""Tantalum""","=""Dy""","=""[Cd].4f13.5p5""","=""""","=""4f13.5p4*""","=""(""","=""139""","="")""","=""7""","=""L582""",
"=""73""","=""Ta IX""","=""+8""","=""Tantalum""","=""Tb""","=""[Cd].4f13.5p4""","=""*""","=""4f13.5p3""","=""(""","=""159""","="")""","=""8""","=""L582""",
"=""73""","=""Ta X""","=""+9""","=""Tantalum""","=""Gd""","=""[Cd].4f13.5p3""","=""""","=""4f13.5p2 4F*<7/2>""","=""(""","=""180""","="")""","=""9""","=""L582""",
"=""73""","=""Ta XI""","=""+10""","=""Tantalum""","=""Eu""","=""[Cd].4f13.5p2""","=""4F*<7/2>""","=""4f13.5p""","=""(""","=""213""","="")""","=""11""","=""L582""",
"=""73""","=""Ta XII""","=""+11""","=""Tantalum""","=""Sm""","=""[Cd].4f13.5p""","=""""","=""4f13.5s2 2F*<7/2>""","=""(""","=""235""","="")""","=""12""","=""L582""",
"=""73""","=""Ta XIII""","=""+12""","=""Tantalum""","=""Pm""","=""[Cd].4f13""","=""2F*<7/2>""","=""4f12.5s2 3H<6>""","=""(""","=""262""","="")""","=""14""","=""L582""",
"=""73""","=""Ta XIV""","=""+13""","=""Tantalum""","=""Nd""","=""[Cd].4f12""","=""3H<6>""","=""4f11.5s2 4I*<15/2>""","=""(""","=""304""","="")""","=""15""","=""L582""",
"=""73""","=""Ta XV""","=""+14""","=""Tantalum""","=""Pr""","=""[Cd].4f11""","=""4I*<15/2>""","=""4f11.5s 5I*<4>""","=""(""","=""338""","="")""","=""17""","=""L582""",
"=""73""","=""Ta XVI""","=""+15""","=""Tantalum""","=""Ce""","=""[Kr].4d10.4f11.5s""","=""5I*<8>""","=""4f11*""","=""(""","=""363""","="")""","=""19""","=""L582""",
