At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""74""","=""W I""","=""0""","=""Tungsten""","=""W""","=""[Xe].4f14.5d4.6s2""","=""5D0""","=""5d4.6s 6D<1/2>""","=""""","=""7.86403""","=""""","=""0.00010""","=""L11604""",
"=""74""","=""W II""","=""+1""","=""Tungsten""","=""Ta""","=""[Xe].4f14.5d4.6s""","=""6D<1/2>""","=""5d4 5D<0>""","=""[""","=""16.37""","=""]""","=""0.15""","=""L12177""",
"=""74""","=""W III""","=""+2""","=""Tungsten""","=""Hf""","=""[Xe].4f14.5d4""","=""5D0""","=""5d3 4F<3/2>""","=""[""","=""26.0""","=""]""","=""0.4""","=""L9087""",
"=""74""","=""W IV""","=""+3""","=""Tungsten""","=""Lu""","=""[Xe].4f14.5d3""","=""4F<3/2>""","=""5d2 3F<2>""","=""[""","=""38.2""","=""]""","=""0.4""","=""L9087""",
"=""74""","=""W V""","=""+4""","=""Tungsten""","=""Yb""","=""[Xe].4f14.5d2""","=""3F<2>""","=""5d 2D<3/2>""","=""[""","=""51.6""","=""]""","=""0.3""","=""L9087""",
"=""74""","=""W VI""","=""+5""","=""Tungsten""","=""Tm""","=""[Xe].4f14.5d""","=""2D<3/2>""","=""4f14 1S<0>""","=""[""","=""64.77""","=""]""","=""0.04""","=""L4597""",
"=""74""","=""W VII""","=""+6""","=""Tungsten""","=""Er""","=""[Xe].4f14""","=""1S0""","=""4f13.5p6 2F*<7/2>""","=""[""","=""122.01""","=""]""","=""0.06""","=""L3694""",
"=""74""","=""W VIII""","=""+7""","=""Tungsten""","=""Ho""","=""[Xe].4f13""","=""2F*<7/2>""","=""4f14.5p4 3P<2>""","=""[""","=""141.2""","=""]""","=""1.2""","=""L9087""",
"=""74""","=""W IX""","=""+8""","=""Tungsten""","=""Dy""","=""[Cd].4f14.5p4""","=""3P<2>""","=""4f14.5p3 2P*<3/2>""","=""[""","=""160.2""","=""]""","=""1.2""","=""L9087""",
"=""74""","=""W X""","=""+9""","=""Tungsten""","=""Tb""","=""[Cd].4f14.5p3""","=""2P*<3/2>""","=""4f14.5p2 3P<0>""","=""[""","=""179.0""","=""]""","=""1.2""","=""L9087""",
"=""74""","=""W XI""","=""+10""","=""Tungsten""","=""Gd""","=""[Cd].4f14.5p2""","=""3P0""","=""4f13.5p2 4F*<7/2>""","=""[""","=""208.9""","=""]""","=""1.2""","=""L9087""",
"=""74""","=""W XII""","=""+11""","=""Tungsten""","=""Eu""","=""[Cd].4f13.5p2""","=""4F*<7/2>""","=""4f14 1S<0>""","=""[""","=""231.6""","=""]""","=""1.2""","=""L9087""",
"=""74""","=""W XIII""","=""+12""","=""Tungsten""","=""Sm""","=""[Cd].4f14""","=""1S0""","=""4f13.5s2 2F*<7/2>""","=""[""","=""258.3""","=""]""","=""1.2""","=""L9087""",
"=""74""","=""W XIV""","=""+13""","=""Tungsten""","=""Pm""","=""[Cd].4f13""","=""2F*<7/2>""","=""4f12.5s2 3H<6>""","=""[""","=""290.7""","=""]""","=""1.2""","=""L9087""",
"=""74""","=""W XV""","=""+14""","=""Tungsten""","=""Nd""","=""[Cd].4f12""","=""3H<6>""","=""4f11.5s2 4I*<15/2>""","=""[""","=""325.3""","=""]""","=""1.5""","=""L9087""",
"=""74""","=""W XVI""","=""+15""","=""Tungsten""","=""Pr""","=""[Cd].4f11""","=""4I*<15/2>""","=""4f11.5s 5I*<8>""","=""[""","=""361.9""","=""]""","=""1.5""","=""L9087""",
"=""74""","=""W XVII""","=""+16""","=""Tungsten""","=""Ce""","=""[Kr].4d10.4f11.5s""","=""5I*<8>""","=""4f11 4I*<15/2>""","=""[""","=""387.9""","=""]""","=""1.2""","=""L9087""",
