At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""75""","=""Re I""","=""0""","=""Rhenium""","=""Re""","=""[Xe].4f14.5d5.6s2""","=""6S<5/2>""","=""5d5.6s 7S<3>""","=""""","=""7.83352""","=""""","=""0.00011""","=""L11604""",
"=""75""","=""Re II""","=""+1""","=""Rhenium""","=""W""","=""[Xe].4f14.5d5.6s""","=""7S<3>""","=""5d5 6S<5/2>""","=""[""","=""16.6""","=""]""","=""0.5""","=""L16139""",
"=""75""","=""Re III""","=""+2""","=""Rhenium""","=""Ta""","=""[Xe].4f14.5d5""","=""6S<5/2>""","=""5d4 5D<0>""","=""(""","=""27.0""","="")""","=""1.6""","=""L8672c99""",
"=""75""","=""Re IV""","=""+3""","=""Rhenium""","=""Hf""","=""[Xe].4f14.5d4""","=""5D0""","=""5d3 4F<3/2>""","=""(""","=""39.1""","="")""","=""1.7""","=""L8672c99""",
"=""75""","=""Re V""","=""+4""","=""Rhenium""","=""Lu""","=""[Xe].4f14.5d3""","=""4F<3/2>""","=""5d2 3F<2>""","=""(""","=""51.9""","="")""","=""1.9""","=""L8672c99""",
"=""75""","=""Re VI""","=""+5""","=""Rhenium""","=""Yb""","=""[Xe].4f14.5d2""","=""3F<2>""","=""5d 2D<3/2>""","=""(""","=""67.0""","="")""","=""2.0""","=""L8672c99""",
"=""75""","=""Re VII""","=""+6""","=""Rhenium""","=""Tm""","=""[Xe].4f14.5d""","=""2D<3/2>""","=""4f14 1S<0>""","=""[""","=""82.71""","=""]""","=""0.05""","=""L4597""",
"=""75""","=""Re VIII""","=""+7""","=""Rhenium""","=""Er""","=""[Xe].4f14""","=""1S0""","=""4f14.5p5 2P*<3/2>""","=""[""","=""144.4""","=""]""","=""0.4""","=""L3654""",
"=""75""","=""Re IX""","=""+8""","=""Rhenium""","=""Ho""","=""[Cd].4f14.5p5""","=""2P*<3/2>""","=""4f14.5p4 3P<2>""","=""(""","=""165""","="")""","=""8""","=""L582""",
"=""75""","=""Re X""","=""+9""","=""Rhenium""","=""Dy""","=""[Cd].4f14.5p4""","=""3P<2>""","=""4f14.5p3 2P*<3/2>""","=""(""","=""187""","="")""","=""9""","=""L582""",
"=""75""","=""Re XI""","=""+10""","=""Rhenium""","=""Tb""","=""[Cd].4f14.5p3""","=""2P*<3/2>""","=""4f14.5p2 3P<0>""","=""(""","=""208""","="")""","=""10""","=""L582""",
"=""75""","=""Re XII""","=""+11""","=""Rhenium""","=""Gd""","=""[Cd].4f14.5p2""","=""3P0""","=""4f13.5p2 4F*<7/2>""","=""(""","=""236""","="")""","=""12""","=""L582""",
"=""75""","=""Re XIII""","=""+12""","=""Rhenium""","=""Eu""","=""[Cd].4f13.5p2""","=""4F*<7/2>""","=""4f13.5p""","=""(""","=""268""","="")""","=""14""","=""L582""",
"=""75""","=""Re XIV""","=""+13""","=""Rhenium""","=""Sm""","=""[Cd].4f14""","=""1S0""","=""4f13.5s2 2F*<7/2>""","=""(""","=""291""","="")""","=""15""","=""L582""",
"=""75""","=""Re XV""","=""+14""","=""Rhenium""","=""Pm""","=""[Cd].4f13""","=""2F*<7/2>""","=""4f12.5s2 3H<6>""","=""(""","=""330""","="")""","=""16""","=""L582""",
"=""75""","=""Re XVI""","=""+15""","=""Rhenium""","=""Nd""","=""[Cd].4f12""","=""3H<6>""","=""4f11.5s2 4I*<15/2>""","=""(""","=""377""","="")""","=""19""","=""L582""",
"=""75""","=""Re XVII""","=""+16""","=""Rhenium""","=""Pr""","=""[Cd].4f11""","=""4I*<15/2>""","=""4f12""","=""(""","=""403""","="")""","=""20""","=""L582""",
"=""75""","=""Re XVIII""","=""+17""","=""Rhenium""","=""Ce""","=""[Kr].4d10.4f12""","=""""","=""4f11 4I*<15/2>""","=""(""","=""429""","="")""","=""21""","=""L582""",
