At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""76""","=""Os I""","=""0""","=""Osmium""","=""Os""","=""[Xe].4f14.5d6.6s2""","=""5D<4>""","=""5d6.6s 6D<9/2>""","=""""","=""8.43823""","=""""","=""0.00020""","=""L8105""",
"=""76""","=""Os II""","=""+1""","=""Osmium""","=""Re""","=""[Xe].4f14.5d6.6s""","=""6D<9/2>""","=""5d6 5D<4>""","=""[""","=""17.0""","=""]""","=""1.0""","=""L16139""",
"=""76""","=""Os III""","=""+2""","=""Osmium""","=""W""","=""[Xe].4f14.5d6""","=""5D<4>""","=""5d5 6S<5/2>""","=""(""","=""25.0""","="")""","=""1.6""","=""L8672c99""",
"=""76""","=""Os IV""","=""+3""","=""Osmium""","=""Ta""","=""[Xe].4f14.5d5""","=""6S<5/2>""","=""5d4 5D<0>""","=""(""","=""41.0""","="")""","=""1.7""","=""L8672c99""",
"=""76""","=""Os V""","=""+4""","=""Osmium""","=""Hf""","=""[Xe].4f14.5d4""","=""5D0""","=""5d3 4F<3/2>""","=""(""","=""55.0""","="")""","=""1.9""","=""L8672c99""",
"=""76""","=""Os VI""","=""+5""","=""Osmium""","=""Lu""","=""[Xe].4f14.5d3""","=""4F<3/2>""","=""5d2 3F<2>""","=""(""","=""70.1""","="")""","=""2.0""","=""L8672c99""",
"=""76""","=""Os VII""","=""+6""","=""Osmium""","=""Yb""","=""[Xe].4f14.5d2""","=""3F<2>""","=""5d 2D<3/2>""","=""(""","=""85.1""","="")""","=""2.0""","=""L8672c99""",
"=""76""","=""Os VIII""","=""+7""","=""Osmium""","=""Tm""","=""[Xe].4f14.5d""","=""2D<3/2>""","=""4f14 1S<0>""","=""[""","=""102.02""","=""]""","=""0.07""","=""L4597""",
"=""76""","=""Os IX""","=""+8""","=""Osmium""","=""Er""","=""[Xe].4f14""","=""1S0""","=""4f14.5p5 2P*<3/2>""","=""[""","=""168.7""","=""]""","=""0.5""","=""L3654""",
"=""76""","=""Os X""","=""+9""","=""Osmium""","=""Ho""","=""[Cd].4f14.5p5""","=""2P*<3/2>""","=""4f14.5p4 3P<2>""","=""(""","=""190""","="")""","=""10""","=""L582""",
