At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""77""","=""Ir I""","=""0""","=""Iridium""","=""Ir""","=""[Xe].4f14.5d7.6s2""","=""4F<9/2>""","=""5d7.6s 5F<5>""","=""""","=""8.96702""","=""""","=""0.00022""","=""L8105""",
"=""77""","=""Ir II""","=""+1""","=""Iridium""","=""Os""","=""[Xe].4f14.5d7.6s""","=""5F<5>""","=""5d7 4F<9/2>""","=""[""","=""17.0""","=""]""","=""0.3""","=""L16139""",
"=""77""","=""Ir III""","=""+2""","=""Iridium""","=""Re""","=""[Xe].4f14.5d7""","=""4F<9/2>""","=""5d6 5D<4>""","=""(""","=""28.0""","="")""","=""1.6""","=""L8672c99""",
"=""77""","=""Ir IV""","=""+3""","=""Iridium""","=""W""","=""[Xe].4f14.5d6""","=""5D<4>""","=""5d5 6S<5/2>""","=""(""","=""40.0""","="")""","=""1.7""","=""L8672c99""",
"=""77""","=""Ir V""","=""+4""","=""Iridium""","=""Ta""","=""[Xe].4f14.5d5""","=""6S<5/2>""","=""5d4 5D<0>""","=""(""","=""57.0""","="")""","=""1.9""","=""L8672c99""",
"=""77""","=""Ir VI""","=""+5""","=""Iridium""","=""Hf""","=""[Xe].4f14.5d4""","=""5D0""","=""5d3 4F<3/2>""","=""(""","=""72.0""","="")""","=""2.0""","=""L8672c99""",
"=""77""","=""Ir VII""","=""+6""","=""Iridium""","=""Lu""","=""[Xe].4f14.5d3""","=""4F<3/2>""","=""5d2 3F<2>""","=""(""","=""89.0""","="")""","=""2.0""","=""L8672c99""",
"=""77""","=""Ir VIII""","=""+7""","=""Iridium""","=""Yb""","=""[Xe].4f14.5d2""","=""3F<2>""","=""5d 2D<3/2>""","=""(""","=""105.0""","="")""","=""2.1""","=""L8672c99""",
"=""77""","=""Ir IX""","=""+8""","=""Iridium""","=""Tm""","=""[Xe].4f14.5d""","=""2D<3/2>""","=""4f14 1S<0>""","=""[""","=""122.7""","=""]""","=""0.9""","=""L3654""",
"=""77""","=""Ir X""","=""+9""","=""Iridium""","=""Er""","=""[Xe].4f14""","=""1S0""","=""4f14.5p5 2P*<3/2>""","=""[""","=""194.8""","=""]""","=""0.6""","=""L3654""",
"=""77""","=""Ir XI""","=""+10""","=""Iridium""","=""Ho""","=""[Cd].4f14.5p5""","=""2P*<3/2>""","=""4f14.5p4 3P<2>""","=""(""","=""217""","="")""","=""11""","=""L582""",
"=""77""","=""Ir XII""","=""+11""","=""Iridium""","=""Dy""","=""[Cd].4f14.5p4""","=""3P<2>""","=""4f14.5p3 2P*<3/2>""","=""(""","=""240""","="")""","=""12""","=""L582""",
"=""77""","=""Ir XIII""","=""+12""","=""Iridium""","=""Tb""","=""[Cd].4f14.5p3""","=""2P*<3/2>""","=""4f14.5p2 3P<0>""","=""(""","=""264""","="")""","=""14""","=""L582""",
"=""77""","=""Ir XIV""","=""+13""","=""Iridium""","=""Gd""","=""[Cd].4f14.5p2""","=""3P0""","=""4f14.5p 2P*<1/2>""","=""(""","=""303""","="")""","=""15""","=""L582""",
"=""77""","=""Ir XV""","=""+14""","=""Iridium""","=""Eu""","=""[Cd].4f14.5p""","=""2P*<1/2>""","=""4f14 1S<0>""","=""(""","=""329""","="")""","=""16""","=""L582""",
"=""77""","=""Ir XVI""","=""+15""","=""Iridium""","=""Sm""","=""[Cd].4f14""","=""1S0""","=""4f13.5s2 2F*<7/2>""","=""(""","=""356""","="")""","=""17""","=""L582""",
"=""77""","=""Ir XVII""","=""+16""","=""Iridium""","=""Pm""","=""[Cd].4f13""","=""2F*<7/2>""","=""4f12.5s2 3H<6>""","=""(""","=""407""","="")""","=""20""","=""L582""",
"=""77""","=""Ir XVIII""","=""+17""","=""Iridium""","=""Nd""","=""[Cd].4f12""","=""3H<6>""","=""4f12.5s""","=""(""","=""445""","="")""","=""22""","=""L582""",
"=""77""","=""Ir XIX""","=""+18""","=""Iridium""","=""Pr""","=""[Kr].4d10.4f12.5s""","=""""","=""4f12""","=""(""","=""472""","="")""","=""24""","=""L582""",
"=""77""","=""Ir XX""","=""+19""","=""Iridium""","=""Ce""","=""[Kr].4d10.4f12""","=""""","=""4f11 4I*<15/2>""","=""(""","=""510""","="")""","=""30""","=""L582""",
"=""77""","=""Ir XXI""","=""+20""","=""Iridium""","=""La""","=""[Kr].4d10.4f11""","=""4I*<15/2>""","=""4f10 5I<8>""","=""(""","=""560""","="")""","=""30""","=""L582""",
"=""77""","=""Ir XXII""","=""+21""","=""Iridium""","=""Ba""","=""[Kr].4d10.4f10""","=""5I<8>""","=""4f9 6H*<15/2>""","=""(""","=""610""","="")""","=""30""","=""L582""",
"=""77""","=""Ir XXIII""","=""+22""","=""Iridium""","=""Cs""","=""[Kr].4d10.4f9""","=""6H*<15/2>""","=""4f8 7F<6>""","=""(""","=""670""","="")""","=""30""","=""L582""",
"=""77""","=""Ir XXIV""","=""+23""","=""Iridium""","=""Xe""","=""[Kr].4d10.4f8""","=""7F<6>""","=""4f7 8S*<7/2>""","=""(""","=""720""","="")""","=""40""","=""L582""",
"=""77""","=""Ir XXV""","=""+24""","=""Iridium""","=""I""","=""[Kr].4d10.4f7""","=""8S*<7/2>""","=""4f6 7F<0>""","=""(""","=""770""","="")""","=""40""","=""L582""",
"=""77""","=""Ir XXVI""","=""+25""","=""Iridium""","=""Te""","=""[Kr].4d10.4f6""","=""7F0""","=""4f5 6H*<5/2>""","=""(""","=""820""","="")""","=""40""","=""L582""",
"=""77""","=""Ir XXVII""","=""+26""","=""Iridium""","=""Sb""","=""[Kr].4d10.4f5""","=""6H*<5/2>""","=""4f4 5I<4>""","=""(""","=""870""","="")""","=""40""","=""L582""",
"=""77""","=""Ir XXVIII""","=""+27""","=""Iridium""","=""Sn""","=""[Kr].4d10.4f4""","=""5I<4>""","=""4f3 4I*<9/2>""","=""(""","=""920""","="")""","=""50""","=""L582""",
"=""77""","=""Ir XXIX""","=""+28""","=""Iridium""","=""In""","=""[Kr].4d10.4f3""","=""4I*<9/2>""","=""4f2 3H<4>""","=""(""","=""980""","="")""","=""50""","=""L582""",
"=""77""","=""Ir XXX""","=""+29""","=""Iridium""","=""Cd""","=""[Kr].4d10.4f2""","=""3H<4>""","=""4f 2F*<5/2>""","=""(""","=""1030""","="")""","=""50""","=""L582""",
"=""77""","=""Ir XXXI""","=""+30""","=""Iridium""","=""Ag""","=""[Kr].4d10.4f""","=""2F*<5/2>""","=""4d10 1S<0>""","=""(""","=""1080""","="")""","=""50""","=""L582""",
"=""77""","=""Ir XXXII""","=""+31""","=""Iridium""","=""Pd""","=""[Kr].4d10""","=""1S0""","=""4d9 2D<5/2>""","=""(""","=""1331""","="")""","=""4""","=""L8672c99""",
"=""77""","=""Ir XXXIII""","=""+32""","=""Iridium""","=""Rh""","=""[Kr].4d9""","=""2D<5/2>""","=""4d8 3F<4>""","=""(""","=""1381""","="")""","=""4""","=""L8672c99""",
"=""77""","=""Ir XXXIV""","=""+33""","=""Iridium""","=""Ru""","=""[Kr].4d8""","=""3F<4>""","=""4d7 4F<9/2>""","=""(""","=""1436""","="")""","=""5""","=""L8672c99""",
"=""77""","=""Ir XXXV""","=""+34""","=""Iridium""","=""Tc""","=""[Kr].4d7""","=""4F<9/2>""","=""4d6 5D<4>""","=""(""","=""1493""","="")""","=""5""","=""L8672c99""",
"=""77""","=""Ir XXXVI""","=""+35""","=""Iridium""","=""Mo""","=""[Kr].4d6""","=""5D<4>""","=""4d-4.4d+ (0,5/2)<5/2>""","=""(""","=""1548""","="")""","=""5""","=""L8672c99""",
"=""77""","=""Ir XXXVII""","=""+36""","=""Iridium""","=""Nb""","=""[Kr].4d5""","=""(0,5/2)<5/2>""","=""4d4 5D<0>""","=""(""","=""1603""","="")""","=""5""","=""L8672c99""",
"=""77""","=""Ir XXXVIII""","=""+37""","=""Iridium""","=""Zr""","=""[Kr].4d4""","=""5D0""","=""4d3 4F<3/2>""","=""(""","=""1684""","="")""","=""4""","=""L8672c99""",
"=""77""","=""Ir XXXIX""","=""+38""","=""Iridium""","=""Y""","=""[Kr].4d3""","=""4F<3/2>""","=""4d2 3F<2>""","=""(""","=""1739""","="")""","=""4""","=""L8672c99""",
"=""77""","=""Ir XL""","=""+39""","=""Iridium""","=""Sr""","=""[Kr].4d2""","=""3F<2>""","=""4d 2D<3/2>""","=""(""","=""1801""","="")""","=""4""","=""L8672c99""",
"=""77""","=""Ir XLI""","=""+40""","=""Iridium""","=""Rb""","=""[Kr].4d""","=""2D<3/2>""","=""4p6 1S<0>""","=""(""","=""1857""","="")""","=""4""","=""L8672c99""",
"=""77""","=""Ir XLII""","=""+41""","=""Iridium""","=""Kr""","=""[Ar].3d10.4s2.4p6""","=""1S0""","=""4p5 2P*<3/2>""","=""(""","=""2083""","="")""","=""4""","=""L8672c99""",
