At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""78""","=""Pt I""","=""0""","=""Platinum""","=""Pt""","=""[Xe].4f14.5d9.6s""","=""3D<3>""","=""5d9 2D<5/2>""","=""""","=""8.95883""","=""""","=""0.00010""","=""L9735,L11689""",
"=""78""","=""Pt II""","=""+1""","=""Platinum""","=""Ir""","=""[Xe].4f14.5d9""","=""2D<5/2>""","=""5d8 3F<4>""","=""""","=""18.56""","=""""","=""0.12""","=""L3466,L3539""",
"=""78""","=""Pt III""","=""+2""","=""Platinum""","=""Os""","=""[Xe].4f14.5d8""","=""3F<4>""","=""5d7 4F<9/2>""","=""(""","=""29.0""","="")""","=""1.6""","=""L8672c99""",
"=""78""","=""Pt IV""","=""+3""","=""Platinum""","=""Re""","=""[Xe].4f14.5d7""","=""4F<9/2>""","=""5d6 5D<4>""","=""(""","=""43.0""","="")""","=""1.7""","=""L8672c99""",
"=""78""","=""Pt V""","=""+4""","=""Platinum""","=""W""","=""[Xe].4f14.5d6""","=""5D<4>""","=""5d5 6S<5/2>""","=""(""","=""56.0""","="")""","=""1.9""","=""L8672c99""",
"=""78""","=""Pt VI""","=""+5""","=""Platinum""","=""Ta""","=""[Xe].4f14.5d5""","=""6S<5/2>""","=""5d4 5D<0>""","=""(""","=""75.0""","="")""","=""2.0""","=""L8672c99""",
"=""78""","=""Pt VII""","=""+6""","=""Platinum""","=""Hf""","=""[Xe].4f14.5d4""","=""5D0""","=""5d3 4F<3/2>""","=""(""","=""91.0""","="")""","=""2.0""","=""L8672c99""",
"=""78""","=""Pt VIII""","=""+7""","=""Platinum""","=""Lu""","=""[Xe].4f14.5d3""","=""4F<3/2>""","=""5d2 3F<2>""","=""(""","=""109.0""","="")""","=""2.1""","=""L8672c99""",
"=""78""","=""Pt IX""","=""+8""","=""Platinum""","=""Yb""","=""[Xe].4f14.5d2""","=""3F<2>""","=""5d 2D<3/2>""","=""(""","=""126.0""","="")""","=""2.2""","=""L8672c99""",
"=""78""","=""Pt X""","=""+9""","=""Platinum""","=""Tm""","=""[Xe].4f14.5d""","=""2D<3/2>""","=""4f14 1S<0>""","=""[""","=""144.9""","=""]""","=""1.1""","=""L3654""",
"=""78""","=""Pt XI""","=""+10""","=""Platinum""","=""Er""","=""[Xe].4f14""","=""1S0""","=""4f14.5p5 2P*<3/2>""","=""[""","=""220.4""","=""]""","=""0.9""","=""L3654""",
"=""78""","=""Pt XII""","=""+11""","=""Platinum""","=""Ho""","=""[Cd].4f14.5p5""","=""2P*<3/2>""","=""4f14.5p4 3P<2>""","=""(""","=""245""","="")""","=""12""","=""L582""",
"=""78""","=""Pt XIII""","=""+12""","=""Platinum""","=""Dy""","=""[Cd].4f14.5p4""","=""3P<2>""","=""4f14.5p3 2P*<3/2>""","=""(""","=""269""","="")""","=""14""","=""L582""",
"=""78""","=""Pt XIV""","=""+13""","=""Platinum""","=""Tb""","=""[Cd].4f14.5p3""","=""2P*<3/2>""","=""4f14.5p2 3P<0>""","=""(""","=""293""","="")""","=""15""","=""L582""",
"=""78""","=""Pt XV""","=""+14""","=""Platinum""","=""Gd""","=""[Cd].4f14.5p2""","=""3P0""","=""4f14.5p 2P*<1/2>""","=""(""","=""332""","="")""","=""16""","=""L582""",
"=""78""","=""Pt XVI""","=""+15""","=""Platinum""","=""Eu""","=""[Cd].4f14.5p""","=""2P*<1/2>""","=""4f14 1S<0>""","=""(""","=""358""","="")""","=""17""","=""L582""",
