At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""79""","=""Au I""","=""0""","=""Gold""","=""Au""","=""[Xe].4f14.5d10.6s""","=""2S<1/2>""","=""5d10 1S<0>""","=""""","=""9.225554""","=""""","=""0.000004""","=""L12088""",
"=""79""","=""Au II""","=""+1""","=""Gold""","=""Pt""","=""[Xe].4f14.5d10""","=""1S0""","=""5d9 2D<5/2>""","=""""","=""20.203""","=""""","=""0.025""","=""L11702""",
"=""79""","=""Au III""","=""+2""","=""Gold""","=""Ir""","=""[Xe].4f14.5d9""","=""2D<5/2>""","=""5d8 3F<4>""","=""(""","=""30.0""","="")""","=""1.6""","=""L8672c99""",
"=""79""","=""Au IV""","=""+3""","=""Gold""","=""Os""","=""[Xe].4f14.5d8""","=""3F<4>""","=""5d7 4F<9/2>""","=""(""","=""45.0""","="")""","=""1.7""","=""L8672c99""",
"=""79""","=""Au V""","=""+4""","=""Gold""","=""Re""","=""[Xe].4f14.5d7""","=""4F<9/2>""","=""5d6 5D<4>""","=""(""","=""60.0""","="")""","=""1.9""","=""L8672c99""",
"=""79""","=""Au VI""","=""+5""","=""Gold""","=""W""","=""[Xe].4f14.5d6""","=""5D<4>""","=""5d5 6S<5/2>""","=""(""","=""74.0""","="")""","=""2.0""","=""L8672c99""",
"=""79""","=""Au VII""","=""+6""","=""Gold""","=""Ta""","=""[Xe].4f14.5d5""","=""6S<5/2>""","=""5d4 5D<0>""","=""(""","=""94.0""","="")""","=""2.0""","=""L8672c99""",
"=""79""","=""Au VIII""","=""+7""","=""Gold""","=""Hf""","=""[Xe].4f14.5d4""","=""5D0""","=""5d3 4F<3/2>""","=""(""","=""112.0""","="")""","=""2.1""","=""L8672c99""",
"=""79""","=""Au IX""","=""+8""","=""Gold""","=""Lu""","=""[Xe].4f14.5d3""","=""4F<3/2>""","=""5d2 3F<2>""","=""(""","=""130.1""","="")""","=""2.2""","=""L8672c99""",
"=""79""","=""Au X""","=""+9""","=""Gold""","=""Yb""","=""[Xe].4f14.5d2""","=""3F<2>""","=""5d 2D<3/2>""","=""(""","=""149.0""","="")""","=""2.2""","=""L8672c99""",
"=""79""","=""Au XI""","=""+10""","=""Gold""","=""Tm""","=""[Xe].4f14.5d""","=""2D<3/2>""","=""4f14 1S<0>""","=""[""","=""168.2""","=""]""","=""1.4""","=""L3654""",
"=""79""","=""Au XII""","=""+11""","=""Gold""","=""Er""","=""[Xe].4f14""","=""1S0""","=""4f14.5p5 2P*<3/2>""","=""[""","=""248.0""","=""]""","=""1.0""","=""L3654""",
"=""79""","=""Au XIII""","=""+12""","=""Gold""","=""Ho""","=""[Cd].4f14.5p5""","=""2P*<3/2>""","=""4f14.5p4 3P<2>""","=""(""","=""275""","="")""","=""14""","=""L582""",
"=""79""","=""Au XIV""","=""+13""","=""Gold""","=""Dy""","=""[Cd].4f14.5p4""","=""3P<2>""","=""4f14.5p3 2P*<3/2>""","=""(""","=""299""","="")""","=""15""","=""L582""",
"=""79""","=""Au XV""","=""+14""","=""Gold""","=""Tb""","=""[Cd].4f14.5p3""","=""2P*<3/2>""","=""4f14.5p2 3P<0>""","=""(""","=""324""","="")""","=""16""","=""L582""",
"=""79""","=""Au XVI""","=""+15""","=""Gold""","=""Gd""","=""[Cd].4f14.5p2""","=""3P0""","=""4f14.5p 2P*<1/2>""","=""(""","=""365""","="")""","=""19""","=""L582""",
"=""79""","=""Au XVII""","=""+16""","=""Gold""","=""Eu""","=""[Cd].4f14.5p""","=""2P*<1/2>""","=""4f14 1S<0>""","=""(""","=""392""","="")""","=""20""","=""L582""",
"=""79""","=""Au XVIII""","=""+17""","=""Gold""","=""Sm""","=""[Cd].4f14""","=""1S0""","=""4f13.5s2 2F*<7/2>""","=""(""","=""433""","="")""","=""21""","=""L582""",
"=""79""","=""Au XIX""","=""+18""","=""Gold""","=""Pm""","=""[Cd].4f13""","=""2F*<7/2>""","=""4f12.5s2 3H<6>""","=""(""","=""487""","="")""","=""25""","=""L582""",
"=""79""","=""Au XX""","=""+19""","=""Gold""","=""Nd""","=""[Cd].4f12""","=""3H<6>""","=""4f12.5s""","=""(""","=""520""","="")""","=""30""","=""L582""",
"=""79""","=""Au XXI""","=""+20""","=""Gold""","=""Pr""","=""[Kr].4d10.4f12.5s""","=""""","=""4f12""","=""(""","=""550""","="")""","=""30""","=""L582""",
"=""79""","=""Au XXII""","=""+21""","=""Gold""","=""Ce""","=""[Kr].4d10.4f12""","=""""","=""4f11 4I*<15/2>""","=""(""","=""600""","="")""","=""30""","=""L582""",
"=""79""","=""Au XXIII""","=""+22""","=""Gold""","=""La""","=""[Kr].4d10.4f11""","=""4I*<15/2>""","=""4f10 5I<8>""","=""(""","=""650""","="")""","=""40""","=""L582""",
"=""79""","=""Au XXIV""","=""+23""","=""Gold""","=""Ba""","=""[Kr].4d10.4f10""","=""5I<8>""","=""4f9 6H*<15/2>""","=""(""","=""710""","="")""","=""40""","=""L582""",
"=""79""","=""Au XXV""","=""+24""","=""Gold""","=""Cs""","=""[Kr].4d10.4f9""","=""6H*<15/2>""","=""4f8 7F<6>""","=""(""","=""760""","="")""","=""40""","=""L582""",
"=""79""","=""Au XXVI""","=""+25""","=""Gold""","=""Xe""","=""[Kr].4d10.4f8""","=""7F<6>""","=""4f7 8S*<7/2>""","=""(""","=""820""","="")""","=""40""","=""L582""",
"=""79""","=""Au XXVII""","=""+26""","=""Gold""","=""I""","=""[Kr].4d10.4f7""","=""8S*<7/2>""","=""4f6 7F<0>""","=""(""","=""870""","="")""","=""40""","=""L582""",
"=""79""","=""Au XXVIII""","=""+27""","=""Gold""","=""Te""","=""[Kr].4d10.4f6""","=""7F0""","=""4f5 6H*<5/2>""","=""(""","=""930""","="")""","=""50""","=""L582""",
"=""79""","=""Au XXIX""","=""+28""","=""Gold""","=""Sb""","=""[Kr].4d10.4f5""","=""6H*<5/2>""","=""4f4 5I<4>""","=""(""","=""990""","="")""","=""50""","=""L582""",
"=""79""","=""Au XXX""","=""+29""","=""Gold""","=""Sn""","=""[Kr].4d10.4f4""","=""5I<4>""","=""4f3 4I*<9/2>""","=""(""","=""1040""","="")""","=""50""","=""L582""",
"=""79""","=""Au XXXI""","=""+30""","=""Gold""","=""In""","=""[Kr].4d10.4f3""","=""4I*<9/2>""","=""4f2 3H<4>""","=""(""","=""1100""","="")""","=""50""","=""L582""",
"=""79""","=""Au XXXII""","=""+31""","=""Gold""","=""Cd""","=""[Kr].4d10.4f2""","=""3H<4>""","=""4f 2F*<5/2>""","=""(""","=""1150""","="")""","=""60""","=""L582""",
"=""79""","=""Au XXXIII""","=""+32""","=""Gold""","=""Ag""","=""[Kr].4d10.4f""","=""2F*<5/2>""","=""4d10 1S<0>""","=""(""","=""1210""","="")""","=""60""","=""L582""",
"=""79""","=""Au XXXIV""","=""+33""","=""Gold""","=""Pd""","=""[Kr].4d10""","=""1S0""","=""4d9 2D<5/2>""","=""(""","=""1475""","="")""","=""5""","=""L8672c99""",
"=""79""","=""Au XXXV""","=""+34""","=""Gold""","=""Rh""","=""[Kr].4d9""","=""2D<5/2>""","=""4d8 3F<4>""","=""(""","=""1527""","="")""","=""5""","=""L8672c99""",
"=""79""","=""Au XXXVI""","=""+35""","=""Gold""","=""Ru""","=""[Kr].4d8""","=""3F<4>""","=""4d7 4F<9/2>""","=""(""","=""1584""","="")""","=""5""","=""L8672c99""",
"=""79""","=""Au XXXVII""","=""+36""","=""Gold""","=""Tc""","=""[Kr].4d7""","=""4F<9/2>""","=""4d6 5D<4>""","=""(""","=""1644""","="")""","=""5""","=""L8672c99""",
"=""79""","=""Au XXXVIII""","=""+37""","=""Gold""","=""Mo""","=""[Kr].4d6""","=""5D<4>""","=""4d-4.4d+ (0,5/2)<5/2>""","=""(""","=""1702""","="")""","=""4""","=""L8672c99""",
"=""79""","=""Au XXXIX""","=""+38""","=""Gold""","=""Nb""","=""[Kr].4d5""","=""(0,5/2)<5/2>""","=""4d4 5D<0>""","=""(""","=""1758""","="")""","=""4""","=""L8672c99""",
"=""79""","=""Au XL""","=""+39""","=""Gold""","=""Zr""","=""[Kr].4d4""","=""5D0""","=""4d3 4F<3/2>""","=""(""","=""1845""","="")""","=""4""","=""L8672c99""",
"=""79""","=""Au XLI""","=""+40""","=""Gold""","=""Y""","=""[Kr].4d3""","=""4F<3/2>""","=""4d2 3F<2>""","=""(""","=""1904""","="")""","=""4""","=""L8672c99""",
"=""79""","=""Au XLII""","=""+41""","=""Gold""","=""Sr""","=""[Kr].4d2""","=""3F<2>""","=""4d 2D<3/2>""","=""(""","=""1967""","="")""","=""4""","=""L8672c99""",
"=""79""","=""Au XLIII""","=""+42""","=""Gold""","=""Rb""","=""[Kr].4d""","=""2D<3/2>""","=""4p6 1S<0>""","=""(""","=""2026""","="")""","=""4""","=""L8672c99""",
"=""79""","=""Au XLIV""","=""+43""","=""Gold""","=""Kr""","=""[Ar].3d10.4s2.4p6""","=""1S0""","=""4p5 2P*<3/2>""","=""(""","=""2261""","="")""","=""4""","=""L8672c99""",
"=""79""","=""Au XLV""","=""+44""","=""Gold""","=""Br""","=""[Ar].3d10.4s2.4p5""","=""2P*<3/2>""","=""4p4 3P<2>""","=""(""","=""2320""","="")""","=""4""","=""L8672c99""",
"=""79""","=""Au XLVI""","=""+45""","=""Gold""","=""Se""","=""[Ar].3d10.4s2.4p4""","=""3P<2>""","=""4p-2.4p+ (0,3/2)*<3/2>""","=""(""","=""2383""","="")""","=""4""","=""L8672c99""",
"=""79""","=""Au XLVII""","=""+46""","=""Gold""","=""As""","=""[Ar].3d10.4s2.4p3""","=""(0,3/2)*<3/2>""","=""4p2 3P<0>""","=""(""","=""2443""","="")""","=""4""","=""L8672c99""",
"=""79""","=""Au XLVIII""","=""+47""","=""Gold""","=""Ge""","=""[Ar].3d10.4s2.4p2""","=""3P0""","=""4p 2P*<1/2>""","=""(""","=""2640""","="")""","=""4""","=""L8672c99""",
"=""79""","=""Au XLIX""","=""+48""","=""Gold""","=""Ga""","=""[Ar].3d10.4s2.4p""","=""2P*<1/2>""","=""4s2 1S<0>""","=""(""","=""2708""","="")""","=""4""","=""L8672c99""",
"=""79""","=""Au L""","=""+49""","=""Gold""","=""Zn""","=""[Ar].3d10.4s2""","=""1S0""","=""4s 2S<1/2>""","=""(""","=""2870""","="")""","=""4""","=""L8672c99""",
"=""79""","=""Au LI""","=""+50""","=""Gold""","=""Cu""","=""[Ar].3d10.4s""","=""2S<1/2>""","=""3d10 1S<0>""","=""[""","=""2941.0""","=""]""","=""1.0""","=""L10191""",
"=""79""","=""Au LII""","=""+51""","=""Gold""","=""Ni""","=""[Ar].3d10""","=""1S0""","=""3d9 2D<5/2>""","=""""","=""4888""","=""""","=""4""","=""L10191""",
"=""79""","=""Au LIII""","=""+52""","=""Gold""","=""Co""","=""[Ar].3d9""","=""2D<5/2>""","=""3d8 3F<4>""","=""(""","=""5013""","="")""","=""4""","=""L8672c99""",
"=""79""","=""Au LIV""","=""+53""","=""Gold""","=""Fe""","=""[Ar].3d8""","=""3F<4>""","=""3d7 4F<9/2>""","=""(""","=""5156""","="")""","=""5""","=""L8672c99""",
"=""79""","=""Au LV""","=""+54""","=""Gold""","=""Mn""","=""[Ar].3d7""","=""4F<9/2>""","=""3d-4.3d+2 (0,4)<4>""","=""(""","=""5307""","="")""","=""5""","=""L8672c99""",
"=""79""","=""Au LVI""","=""+55""","=""Gold""","=""Cr""","=""[Ar].3d6""","=""(0,4)<4>""","=""3d-4.3d+ (0,5/2)<5/2>""","=""(""","=""5452""","="")""","=""5""","=""L8672c99""",
"=""79""","=""Au LVII""","=""+56""","=""Gold""","=""V""","=""[Ar].3d5""","=""(0,5/2)<5/2>""","=""3d4 5D<0>""","=""(""","=""5594""","="")""","=""5""","=""L8672c99""",
"=""79""","=""Au LVIII""","=""+57""","=""Gold""","=""Ti""","=""[Ar].3d4""","=""5D0""","=""3d3 4F<3/2>""","=""(""","=""5846""","="")""","=""6""","=""L8672c99""",
"=""79""","=""Au LIX""","=""+58""","=""Gold""","=""Sc""","=""[Ar].3d3""","=""4F<3/2>""","=""3d2 3F<2>""","=""(""","=""5994""","="")""","=""6""","=""L8672c99""",
"=""79""","=""Au LX""","=""+59""","=""Gold""","=""Ca""","=""[Ar].3d2""","=""3F<2>""","=""3d 2D<3/2>""","=""(""","=""6156""","="")""","=""7""","=""L8672c99""",
"=""79""","=""Au LXI""","=""+60""","=""Gold""","=""K""","=""[Ar].3d""","=""2D<3/2>""","=""3p6 1S<0>""","=""(""","=""6305""","="")""","=""10""","=""L8672c99""",
"=""79""","=""Au LXII""","=""+61""","=""Gold""","=""Ar""","=""[Ne].3s2.3p6""","=""1S0""","=""3p5 2P*<3/2>""","=""(""","=""6724""","="")""","=""12""","=""L8672c99""",
"=""79""","=""Au LXIII""","=""+62""","=""Gold""","=""Cl""","=""[Ne].3s2.3p5""","=""2P*<3/2>""","=""3p4 3P<2>""","=""(""","=""6854""","="")""","=""15""","=""L8672c99""",
"=""79""","=""Au LXIV""","=""+63""","=""Gold""","=""S""","=""[Ne].3s2.3p4""","=""3P<2>""","=""3p3 2P*<3/2>""","=""(""","=""6997""","="")""","=""19""","=""L8672c99""",
"=""79""","=""Au LXV""","=""+64""","=""Gold""","=""P""","=""[Ne].3s2.3p3""","=""2P*<3/2>""","=""3p2 3P<0>""","=""(""","=""7130""","="")""","=""24""","=""L8672c99""",
"=""79""","=""Au LXVI""","=""+65""","=""Gold""","=""Si""","=""[Ne].3s2.3p2""","=""3P0""","=""3p 2P*<1/2>""","=""(""","=""7760""","="")""","=""30""","=""L8672c99""",
"=""79""","=""Au LXVII""","=""+66""","=""Gold""","=""Al""","=""[Ne].3s2.3p""","=""2P*<1/2>""","=""3s2 1S<0>""","=""(""","=""7910""","="")""","=""40""","=""L8672c99""",
"=""79""","=""Au LXVIII""","=""+67""","=""Gold""","=""Mg""","=""[Ne].3s2""","=""1S0""","=""3s 2S<1/2>""","=""(""","=""8210""","="")""","=""40""","=""L8672c99""",
"=""79""","=""Au LXIX""","=""+68""","=""Gold""","=""Na""","=""[Ne].3s""","=""2S<1/2>""","=""2p6 1S<0>""","=""(""","=""8360""","="")""","=""50""","=""L8672c99""",
"=""79""","=""Au LXX""","=""+69""","=""Gold""","=""Ne""","=""1s2.2s2.2p6""","=""1S0""","=""2p5 2P*<3/2>""","=""(""","=""18040""","="")""","=""50""","=""L8672c99""",
"=""79""","=""Au LXXI""","=""+70""","=""Gold""","=""F""","=""1s2.2s2.2p5""","=""2P*<3/2>""","=""2p4 3P<2>""","=""(""","=""18400""","="")""","=""60""","=""L8672c99""",
"=""79""","=""Au LXXII""","=""+71""","=""Gold""","=""O""","=""1s2.2s2.2p4""","=""3P<2>""","=""2p2<1/2>.2p<3/2> (0,3/2)*<3/2>""","=""(""","=""18790""","="")""","=""60""","=""L8672c99""",
"=""79""","=""Au LXXIII""","=""+72""","=""Gold""","=""N""","=""1s2.2s2.2p3""","=""(0,3/2)*<3/2>""","=""2p2 3P<0>""","=""(""","=""19150""","="")""","=""70""","=""L8672c99""",
"=""79""","=""Au LXXIV""","=""+73""","=""Gold""","=""C""","=""1s2.2s2.2p2""","=""3P0""","=""2p 2P*<1/2>""","=""(""","=""21470""","="")""","=""90""","=""L8672c99""",
"=""79""","=""Au LXXV""","=""+74""","=""Gold""","=""B""","=""1s2.2s2.2p""","=""2P*<1/2>""","=""2s2 1S<0>""","=""(""","=""21920""","="")""","=""90""","=""L8672c99""",
