At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""80""","=""Hg I""","=""0""","=""Mercury""","=""Hg""","=""[Xe].4f14.5d10.6s2""","=""1S0""","=""6s 2S<1/2>""","=""""","=""10.437504""","=""""","=""0.000006""","=""L11931,L11984""",
"=""80""","=""Hg II""","=""+1""","=""Mercury""","=""Au""","=""[Xe].4f14.5d10.6s""","=""2S<1/2>""","=""5d10 1S<0>""","=""""","=""18.75688""","=""""","=""0.00004""","=""L11760""",
"=""80""","=""Hg III""","=""+2""","=""Mercury""","=""Pt""","=""[Xe].4f14.5d10""","=""1S0""","=""5d9 2D<5/2>""","=""""","=""34.49""","=""""","=""0.05""","=""L20993""",
"=""80""","=""Hg IV""","=""+3""","=""Mercury""","=""Ir""","=""[Xe].4f14.5d9""","=""2D<5/2>""","=""5d8 3F<4>""","=""""","=""48.55""","=""""","=""0.15""","=""L16379""",
"=""80""","=""Hg V""","=""+4""","=""Mercury""","=""Os""","=""[Xe].4f14.5d8""","=""3F<4>""","=""5d7 4F<9/2>""","=""""","=""61.20""","=""""","=""0.20""","=""L289""",
"=""80""","=""Hg VI""","=""+5""","=""Mercury""","=""Re""","=""[Xe].4f14.5d7""","=""4F<9/2>""","=""5d6 5D<4>""","=""""","=""76.6""","=""""","=""0.5""","=""L289""",
"=""80""","=""Hg VII""","=""+6""","=""Mercury""","=""W""","=""[Xe].4f14.5d6""","=""5D<4>""","=""5d5 6S<5/2>""","=""""","=""93.0""","=""""","=""2.0""","=""L289""",
"=""80""","=""Hg VIII""","=""+7""","=""Mercury""","=""Ta""","=""[Xe].4f14.5d5""","=""6S<5/2>""","=""5d4 5D<0>""","=""(""","=""113.9""","="")""","=""2.1""","=""L8672c99""",
"=""80""","=""Hg IX""","=""+8""","=""Mercury""","=""Hf""","=""[Xe].4f14.5d4""","=""5D0""","=""5d3 4F<3/2>""","=""(""","=""134.0""","="")""","=""2.2""","=""L8672c99""",
"=""80""","=""Hg X""","=""+9""","=""Mercury""","=""Lu""","=""[Xe].4f14.5d3""","=""4F<3/2>""","=""5d2 3F<2>""","=""(""","=""153.0""","="")""","=""2.2""","=""L8672c99""",
"=""80""","=""Hg XI""","=""+10""","=""Mercury""","=""Yb""","=""[Xe].4f14.5d2""","=""3F<2>""","=""5d 2D<3/2>""","=""(""","=""173.0""","="")""","=""2.4""","=""L8672c99""",
