At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""81""","=""Tl I""","=""0""","=""Thallium""","=""Tl""","=""[Hg].6p""","=""2P*<1/2>""","=""6s2 1S<0>""","=""""","=""6.1082873""","=""""","=""0.0000012""","=""L16353""",
"=""81""","=""Tl II""","=""+1""","=""Thallium""","=""Hg""","=""[Xe].4f14.5d10.6s2""","=""1S0""","=""6s 2S<1/2>""","=""""","=""20.4283""","=""""","=""0.0006""","=""L3272""",
"=""81""","=""Tl III""","=""+2""","=""Thallium""","=""Au""","=""[Xe].4f14.5d10.6s""","=""2S<1/2>""","=""5d10 1S<0>""","=""""","=""29.8520""","=""""","=""0.0006""","=""L3138""",
"=""81""","=""Tl IV""","=""+3""","=""Thallium""","=""Pt""","=""[Xe].4f14.5d10""","=""1S0""","=""5d9 2D<5/2>""","=""""","=""51.14""","=""""","=""0.04""","=""L1202""",
"=""81""","=""Tl V""","=""+4""","=""Thallium""","=""Ir""","=""[Xe].4f14.5d9""","=""2D<5/2>""","=""5d8 3F<4>""","=""""","=""62.6""","=""""","=""0.4""","=""L9528""",
"=""81""","=""Tl VI""","=""+5""","=""Thallium""","=""Os""","=""[Xe].4f14.5d8""","=""3F<4>""","=""5d7 4F<9/2>""","=""(""","=""80.0""","="")""","=""2.0""","=""L8672c99""",
"=""81""","=""Tl VII""","=""+6""","=""Thallium""","=""Re""","=""[Xe].4f14.5d7""","=""4F<9/2>""","=""5d6 5D<4>""","=""(""","=""97.9""","="")""","=""2.0""","=""L8672c99""",
"=""81""","=""Tl VIII""","=""+7""","=""Thallium""","=""W""","=""[Xe].4f14.5d6""","=""5D<4>""","=""5d5 6S<5/2>""","=""(""","=""116.0""","="")""","=""2.1""","=""L8672c99""",
"=""81""","=""Tl IX""","=""+8""","=""Thallium""","=""Ta""","=""[Xe].4f14.5d5""","=""6S<5/2>""","=""5d4 5D<0>""","=""(""","=""135.0""","="")""","=""2.2""","=""L8672c99""",
"=""81""","=""Tl X""","=""+9""","=""Thallium""","=""Hf""","=""[Xe].4f14.5d4""","=""5D0""","=""5d3 4F<3/2>""","=""(""","=""158.0""","="")""","=""2.2""","=""L8672c99""",
"=""81""","=""Tl XI""","=""+10""","=""Thallium""","=""Lu""","=""[Xe].4f14.5d3""","=""4F<3/2>""","=""5d2 3F<2>""","=""(""","=""177.0""","="")""","=""2.4""","=""L8672c99""",
"=""81""","=""Tl XII""","=""+11""","=""Thallium""","=""Yb""","=""[Xe].4f14.5d2""","=""3F<2>""","=""5d 2D<3/2>""","=""(""","=""198.0""","="")""","=""2.5""","=""L8672c99""",
"=""81""","=""Tl XIII""","=""+12""","=""Thallium""","=""Tm""","=""[Xe].4f14.5d""","=""2D<3/2>""","=""4f14 1S<0>""","=""[""","=""218.3""","=""]""","=""2.0""","=""L3654""",
"=""81""","=""Tl XIV""","=""+13""","=""Thallium""","=""Er""","=""[Xe].4f14""","=""1S0""","=""4f14.5p5 2P*<3/2>""","=""[""","=""306.9""","=""]""","=""1.4""","=""L3654""",
