At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""82""","=""Pb I""","=""0""","=""Lead""","=""Pb""","=""[Hg].6p2""","=""(1/2,1/2)0""","=""6p 2P*<1/2>""","=""""","=""7.4166799""","=""""","=""0.0000006""","=""L11569""",
"=""82""","=""Pb II""","=""+1""","=""Lead""","=""Tl""","=""[Hg].6p""","=""2P*<1/2>""","=""6s2 1S<0>""","=""""","=""15.032499""","=""""","=""0.000007""","=""L15205""",
"=""82""","=""Pb III""","=""+2""","=""Lead""","=""Hg""","=""[Xe].4f14.5d10.6s2""","=""1S0""","=""5d10.6s 2S<1/2>""","=""""","=""31.9373""","=""""","=""0.0006""","=""L3466""",
"=""82""","=""Pb IV""","=""+3""","=""Lead""","=""Au""","=""[Xe].4f14.5d10.6s""","=""2S<1/2>""","=""5d10 1S<0>""","=""""","=""42.33256""","=""""","=""0.00010""","=""L15205""",
"=""82""","=""Pb V""","=""+4""","=""Lead""","=""Pt""","=""[Xe].4f14.5d10""","=""1S0""","=""5d9 2D<5/2>""","=""[""","=""68.8""","=""]""","=""0.5""","=""L3577""",
"=""82""","=""Pb VI""","=""+5""","=""Lead""","=""Ir""","=""[Xe].4f14.5d9""","=""2D<5/2>""","=""5d8 3F<4>""","=""(""","=""82.9""","="")""","=""2.0""","=""L8672c99""",
"=""82""","=""Pb VII""","=""+6""","=""Lead""","=""Os""","=""[Xe].4f14.5d8""","=""3F<4>""","=""5d7 4F<9/2>""","=""(""","=""100.1""","="")""","=""2.0""","=""L8672c99""",
"=""82""","=""Pb VIII""","=""+7""","=""Lead""","=""Re""","=""[Xe].4f14.5d7""","=""4F<9/2>""","=""5d6 5D<4>""","=""(""","=""120.0""","="")""","=""2.1""","=""L8672c99""",
"=""82""","=""Pb IX""","=""+8""","=""Lead""","=""W""","=""[Xe].4f14.5d6""","=""5D<4>""","=""5d5 6S<5/2>""","=""(""","=""138.0""","="")""","=""2.2""","=""L8672c99""",
"=""82""","=""Pb X""","=""+9""","=""Lead""","=""Ta""","=""[Xe].4f14.5d5""","=""6S<5/2>""","=""5d4 5D<0>""","=""(""","=""158.0""","="")""","=""2.2""","=""L8672c99""",
"=""82""","=""Pb XI""","=""+10""","=""Lead""","=""Hf""","=""[Xe].4f14.5d4""","=""5D0""","=""5d3 4F<3/2>""","=""(""","=""182.0""","="")""","=""2.4""","=""L8672c99""",
"=""82""","=""Pb XII""","=""+11""","=""Lead""","=""Lu""","=""[Xe].4f14.5d3""","=""4F<3/2>""","=""5d2 3F<2>""","=""(""","=""203.0""","="")""","=""2.5""","=""L8672c99""",
"=""82""","=""Pb XIII""","=""+12""","=""Lead""","=""Yb""","=""[Xe].4f14.5d2""","=""3F<2>""","=""5d 2D<3/2>""","=""(""","=""224""","="")""","=""3""","=""L8672c99""",
