At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""83""","=""Bi I""","=""0""","=""Bismuth""","=""Bi""","=""[Hg].6p3""","=""4S*<3/2>""","=""6p2 3P<0>""","=""""","=""7.285516""","=""""","=""0.000006""","=""L10664,L6247""",
"=""83""","=""Bi II""","=""+1""","=""Bismuth""","=""Pb""","=""[Hg].6p2""","=""3P0""","=""6s2.6p 2P*<1/2>""","=""""","=""16.703""","=""""","=""0.004""","=""L6771""",
"=""83""","=""Bi III""","=""+2""","=""Bismuth""","=""Tl""","=""[Hg].6p""","=""2P*<1/2>""","=""6s2 1S<0>""","=""""","=""25.57075""","=""""","=""0.00017""","=""L21488""",
"=""83""","=""Bi IV""","=""+3""","=""Bismuth""","=""Hg""","=""[Xe].4f14.5d10.6s2""","=""1S0""","=""6s 2S<1/2>""","=""""","=""45.37""","=""""","=""0.06""","=""L14078""",
"=""83""","=""Bi V""","=""+4""","=""Bismuth""","=""Au""","=""[Xe].4f14.5d10.6s""","=""2S<1/2>""","=""5d10 1S<0>""","=""""","=""54.856""","=""""","=""0.025""","=""L9361""",
"=""83""","=""Bi VI""","=""+5""","=""Bismuth""","=""Pt""","=""[Xe].4f14.5d10""","=""1S0""","=""5d9 2D<5/2>""","=""[""","=""88.4""","=""]""","=""0.7""","=""L3577""",
"=""83""","=""Bi VII""","=""+6""","=""Bismuth""","=""Ir""","=""[Xe].4f14.5d9""","=""2D<5/2>""","=""5d8 3F<4>""","=""(""","=""103.0""","="")""","=""2.0""","=""L8672c99""",
"=""83""","=""Bi VIII""","=""+7""","=""Bismuth""","=""Os""","=""[Xe].4f14.5d8""","=""3F<4>""","=""5d7 4F<9/2>""","=""(""","=""122.0""","="")""","=""2.1""","=""L8672c99""",
"=""83""","=""Bi IX""","=""+8""","=""Bismuth""","=""Re""","=""[Xe].4f14.5d7""","=""4F<9/2>""","=""5d6 5D<4>""","=""(""","=""143.0""","="")""","=""2.2""","=""L8672c99""",
"=""83""","=""Bi X""","=""+9""","=""Bismuth""","=""W""","=""[Xe].4f14.5d6""","=""5D<4>""","=""5d5 6S<5/2>""","=""(""","=""161.1""","="")""","=""2.2""","=""L8672c99""",
"=""83""","=""Bi XI""","=""+10""","=""Bismuth""","=""Ta""","=""[Xe].4f14.5d5""","=""6S<5/2>""","=""5d4 5D<0>""","=""(""","=""183.0""","="")""","=""2.4""","=""L8672c99""",
"=""83""","=""Bi XII""","=""+11""","=""Bismuth""","=""Hf""","=""[Xe].4f14.5d4""","=""5D0""","=""5d3 4F<3/2>""","=""(""","=""208.0""","="")""","=""2.5""","=""L8672c99""",
