At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""84""","=""Po I""","=""0""","=""Polonium""","=""Po""","=""[Hg].6p4""","=""3P<2>""","=""6p3 4S*<3/2>""","=""""","=""8.418070""","=""""","=""0.000004""","=""L20887,L20886""",
"=""84""","=""Po II""","=""+1""","=""Polonium""","=""Bi""","=""[Hg].6p3""","=""4S*<3/2>""","=""6p2 3P<0>""","=""[""","=""19.3""","=""]""","=""1.7""","=""L16139""",
"=""84""","=""Po III""","=""+2""","=""Polonium""","=""Pb""","=""[Hg].6p2""","=""3P0""","=""6p 2P*<1/2>""","=""[""","=""27.3""","=""]""","=""0.7""","=""L16139""",
"=""84""","=""Po IV""","=""+3""","=""Polonium""","=""Tl""","=""[Hg].6p""","=""2P*<1/2>""","=""6s2 1S<0>""","=""(""","=""36.0""","="")""","=""1.7""","=""L8672c99""",
"=""84""","=""Po V""","=""+4""","=""Polonium""","=""Hg""","=""[Xe].4f14.5d10.6s2""","=""1S0""","=""6s 2S<1/2>""","=""(""","=""57.0""","="")""","=""1.9""","=""L8672c99""",
"=""84""","=""Po VI""","=""+5""","=""Polonium""","=""Au""","=""[Xe].4f14.5d10.6s""","=""2S<1/2>""","=""5d10 1S<0>""","=""(""","=""69.1""","="")""","=""2.0""","=""L8672c99""",
"=""84""","=""Po VII""","=""+6""","=""Polonium""","=""Pt""","=""[Xe].4f14.5d10""","=""1S0""","=""5d9 2D<5/2>""","=""(""","=""108.0""","="")""","=""2.0""","=""L8672c99""",
"=""84""","=""Po VIII""","=""+7""","=""Polonium""","=""Ir""","=""[Xe].4f14.5d9""","=""2D<5/2>""","=""5d8 3F<4>""","=""(""","=""125.0""","="")""","=""2.1""","=""L8672c99""",
"=""84""","=""Po IX""","=""+8""","=""Polonium""","=""Os""","=""[Xe].4f14.5d8""","=""3F<4>""","=""5d7 4F<9/2>""","=""(""","=""146.1""","="")""","=""2.2""","=""L8672c99""",
"=""84""","=""Po X""","=""+9""","=""Polonium""","=""Re""","=""[Xe].4f14.5d7""","=""4F<9/2>""","=""5d6 5D<4>""","=""(""","=""166.0""","="")""","=""2.2""","=""L8672c99""",
"=""84""","=""Po XI""","=""+10""","=""Polonium""","=""W""","=""[Xe].4f14.5d6""","=""5D<4>""","=""5d5 6S<5/2>""","=""(""","=""186.0""","="")""","=""2.4""","=""L8672c99""",
"=""84""","=""Po XII""","=""+11""","=""Polonium""","=""Ta""","=""[Xe].4f14.5d5""","=""6S<5/2>""","=""5d4 5D<0>""","=""(""","=""209.0""","="")""","=""2.5""","=""L8672c99""",
"=""84""","=""Po XIII""","=""+12""","=""Polonium""","=""Hf""","=""[Xe].4f14.5d4""","=""5D0""","=""5d3 4F<3/2>""","=""(""","=""235""","="")""","=""3""","=""L8672c99""",
"=""84""","=""Po XIV""","=""+13""","=""Polonium""","=""Lu""","=""[Xe].4f14.5d3""","=""4F<3/2>""","=""5d2 3F<2>""","=""(""","=""257""","="")""","=""3""","=""L8672c99""",
"=""84""","=""Po XV""","=""+14""","=""Polonium""","=""Yb""","=""[Xe].4f14.5d2""","=""3F<2>""","=""5d 2D<3/2>""","=""(""","=""281""","="")""","=""3""","=""L8672c99""",
"=""84""","=""Po XVI""","=""+15""","=""Polonium""","=""Tm""","=""[Xe].4f14.5d""","=""2D<3/2>""","=""4f14 1S<0>""","=""(""","=""304""","="")""","=""3""","=""L8672c99""",
"=""84""","=""Po XVII""","=""+16""","=""Polonium""","=""Er""","=""[Xe].4f14""","=""1S0""","=""4f14.5p5 2P*<3/2>""","=""(""","=""416""","="")""","=""21""","=""L582""",
"=""84""","=""Po XVIII""","=""+17""","=""Polonium""","=""Ho""","=""[Cd].4f14.5p5""","=""2P*<3/2>""","=""4f14.5p4 3P<2>""","=""(""","=""444""","="")""","=""22""","=""L582""",
"=""84""","=""Po XIX""","=""+18""","=""Polonium""","=""Dy""","=""[Cd].4f14.5p4""","=""3P<2>""","=""4f14.5p3 2P*<3/2>""","=""(""","=""473""","="")""","=""24""","=""L582""",
"=""84""","=""Po XX""","=""+19""","=""Polonium""","=""Tb""","=""[Cd].4f14.5p3""","=""2P*<3/2>""","=""4f14.5p2 3P<0>""","=""(""","=""502""","="")""","=""25""","=""L582""",
"=""84""","=""Po XXI""","=""+20""","=""Polonium""","=""Gd""","=""[Cd].4f14.5p2""","=""3P0""","=""4f14.5p 2P*<1/2>""","=""(""","=""560""","="")""","=""30""","=""L582""",
"=""84""","=""Po XXII""","=""+21""","=""Polonium""","=""Eu""","=""[Cd].4f14.5p""","=""2P*<1/2>""","=""4f14 1S<0>""","=""(""","=""590""","="")""","=""30""","=""L582""",
"=""84""","=""Po XXIII""","=""+22""","=""Polonium""","=""Sm""","=""[Cd].4f14""","=""1S0""","=""4f14.5s 2S<1/2>""","=""(""","=""670""","="")""","=""30""","=""L582""",
"=""84""","=""Po XXIV""","=""+23""","=""Polonium""","=""Pm""","=""[Kr].4d10.4f14.5s""","=""2S<1/2>""","=""4f14 1S<0>""","=""(""","=""700""","="")""","=""30""","=""L582""",
"=""84""","=""Po XXV""","=""+24""","=""Polonium""","=""Nd""","=""[Kr].4d10.4f14""","=""1S0""","=""4f13 2F*<7/2>""","=""(""","=""740""","="")""","=""40""","=""L582""",
"=""84""","=""Po XXVI""","=""+25""","=""Polonium""","=""Pr""","=""[Kr].4d10.4f13""","=""2F*<7/2>""","=""4f12""","=""(""","=""800""","="")""","=""40""","=""L582""",
"=""84""","=""Po XXVII""","=""+26""","=""Polonium""","=""Ce""","=""[Kr].4d10.4f12""","=""""","=""4f11 4I*<15/2>""","=""(""","=""870""","="")""","=""40""","=""L582""",
"=""84""","=""Po XXVIII""","=""+27""","=""Polonium""","=""La""","=""[Kr].4d10.4f11""","=""4I*<15/2>""","=""4f10 5I<8>""","=""(""","=""930""","="")""","=""50""","=""L582""",
"=""84""","=""Po XXIX""","=""+28""","=""Polonium""","=""Ba""","=""[Kr].4d10.4f10""","=""5I<8>""","=""4f9 6H*<15/2>""","=""(""","=""990""","="")""","=""50""","=""L582""",
"=""84""","=""Po XXX""","=""+29""","=""Polonium""","=""Cs""","=""[Kr].4d10.4f9""","=""6H*<15/2>""","=""4f8 7F<6>""","=""(""","=""1060""","="")""","=""50""","=""L582""",
