At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (b) (eV),References,
"=""85""","=""At I""","=""0""","=""Astatine""","=""At""","=""[Hg].6p5""","=""2P*<3/2>""","=""6p4 3P<2>""","=""""","=""9.31751""","=""""","=""0.00008""","=""L18394""",
"=""85""","=""At II""","=""+1""","=""Astatine""","=""Po""","=""[Hg].6p4""","=""3P<2>""","=""6p3 4S*<3/2>""","=""[""","=""17.880""","=""]""","=""0.020""","=""L15918""",
"=""85""","=""At III""","=""+2""","=""Astatine""","=""Bi""","=""[Hg].6p3""","=""4S*<3/2>""","=""6p2 3P<0>""","=""[""","=""26.58""","=""]""","=""0.05""","=""L15918""",
"=""85""","=""At IV""","=""+3""","=""Astatine""","=""Pb""","=""[Hg].6p2""","=""3P0""","=""6p 2P*<1/2>""","=""[""","=""39.65""","=""]""","=""""","=""L15918""",
"=""85""","=""At V""","=""+4""","=""Astatine""","=""Tl""","=""[Hg].6p""","=""2P*<1/2>""","=""6s2 1S<0>""","=""[""","=""50.39""","=""]""","=""""","=""L15918""",
"=""85""","=""At VI""","=""+5""","=""Astatine""","=""Hg""","=""[Xe].4f14.5d10.6s2""","=""1S0""","=""6s 2S<1/2>""","=""(""","=""72.0""","="")""","=""2.0""","=""L8672c99""",
"=""85""","=""At VII""","=""+6""","=""Astatine""","=""Au""","=""[Xe].4f14.5d10.6s""","=""2S<1/2>""","=""5d10 1S<0>""","=""(""","=""85.1""","="")""","=""2.0""","=""L8672c99""",
"=""85""","=""At VIII""","=""+7""","=""Astatine""","=""Pt""","=""[Xe].4f14.5d10""","=""1S0""","=""5d9 2D<5/2>""","=""(""","=""130.1""","="")""","=""2.1""","=""L8672c99""",
"=""85""","=""At IX""","=""+8""","=""Astatine""","=""Ir""","=""[Xe].4f14.5d9""","=""2D<5/2>""","=""5d8 3F<4>""","=""(""","=""149.0""","="")""","=""2.2""","=""L8672c99""",
"=""85""","=""At X""","=""+9""","=""Astatine""","=""Os""","=""[Xe].4f14.5d8""","=""3F<4>""","=""5d7 4F<9/2>""","=""(""","=""169.0""","="")""","=""2.2""","=""L8672c99""",
