At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (b) (eV),References,
"=""86""","=""Rn I""","=""0""","=""Radon""","=""Rn""","=""[Hg].6p6""","=""1S0""","=""6p5 2P*<3/2>""","=""""","=""10.74850""","=""""","=""""","=""L272,L7432""",
"=""86""","=""Rn II""","=""+1""","=""Radon""","=""At""","=""[Hg].6p5""","=""2P*<3/2>""","=""6p4 3P<2>""","=""(""","=""18.99""","="")""","=""0.06""","=""L22090""",
"=""86""","=""Rn III""","=""+2""","=""Radon""","=""Po""","=""[Hg].6p4""","=""3P<2>""","=""6p3 4S*<3/2>""","=""[""","=""29.4""","=""]""","=""1.0""","=""L16139""",
"=""86""","=""Rn IV""","=""+3""","=""Radon""","=""Bi""","=""[Hg].6p3""","=""4S*<3/2>""","=""6p2 3P<0>""","=""(""","=""36.9""","="")""","=""1.7""","=""L8672c99""",
"=""86""","=""Rn V""","=""+4""","=""Radon""","=""Pb""","=""[Hg].6p2""","=""3P0""","=""6p 2P*<1/2>""","=""(""","=""52.9""","="")""","=""1.9""","=""L8672c99""",
"=""86""","=""Rn VI""","=""+5""","=""Radon""","=""Tl""","=""[Hg].6p""","=""2P*<1/2>""","=""6s2 1S<0>""","=""(""","=""64.0""","="")""","=""2.0""","=""L8672c99""",
"=""86""","=""Rn VII""","=""+6""","=""Radon""","=""Hg""","=""[Xe].4f14.5d10.6s2""","=""1S0""","=""6s 2S<1/2>""","=""(""","=""88.0""","="")""","=""2.0""","=""L8672c99""",
"=""86""","=""Rn VIII""","=""+7""","=""Radon""","=""Au""","=""[Xe].4f14.5d10.6s""","=""2S<1/2>""","=""5d10 1S<0>""","=""(""","=""102.0""","="")""","=""2.1""","=""L8672c99""",
"=""86""","=""Rn IX""","=""+8""","=""Radon""","=""Pt""","=""[Xe].4f14.5d10""","=""1S0""","=""5d9 2D<5/2>""","=""(""","=""154.0""","="")""","=""2.2""","=""L8672c99""",
"=""86""","=""Rn X""","=""+9""","=""Radon""","=""Ir""","=""[Xe].4f14.5d9""","=""2D<5/2>""","=""5d8 3F<4>""","=""(""","=""173.9""","="")""","=""2.2""","=""L8672c99""",
"=""86""","=""Rn XI""","=""+10""","=""Radon""","=""Os""","=""[Xe].4f14.5d8""","=""3F<4>""","=""5d7 4F<9/2>""","=""(""","=""195.0""","="")""","=""2.4""","=""L8672c99""",
"=""86""","=""Rn XII""","=""+11""","=""Radon""","=""Re""","=""[Xe].4f14.5d7""","=""4F<9/2>""","=""5d6 5D<4>""","=""(""","=""218.0""","="")""","=""2.5""","=""L8672c99""",
"=""86""","=""Rn XIII""","=""+12""","=""Radon""","=""W""","=""[Xe].4f14.5d6""","=""5D<4>""","=""5d5 6S<5/2>""","=""(""","=""240""","="")""","=""3""","=""L8672c99""",
"=""86""","=""Rn XIV""","=""+13""","=""Radon""","=""Ta""","=""[Xe].4f14.5d5""","=""6S<5/2>""","=""5d4 5D<0>""","=""(""","=""264""","="")""","=""3""","=""L8672c99""",
"=""86""","=""Rn XV""","=""+14""","=""Radon""","=""Hf""","=""[Xe].4f14.5d4""","=""5D0""","=""5d3 4F<3/2>""","=""(""","=""293""","="")""","=""3""","=""L8672c99""",
