At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""87""","=""Fr I""","=""0""","=""Francium""","=""Fr""","=""[Rn].7s""","=""2S<1/2>""","=""6p6 1S<0>""","=""""","=""4.0727411""","=""""","=""0.0000011""","=""L10714""",
"=""87""","=""Fr II""","=""+1""","=""Francium""","=""Rn""","=""[Hg].6p6""","=""1S0""","=""6p5 2P*<3/2>""","=""[""","=""22.4""","=""]""","=""1.9""","=""L16139""",
"=""87""","=""Fr III""","=""+2""","=""Francium""","=""At""","=""[Hg].6p5""","=""2P*<3/2>""","=""6p4 3P<2>""","=""[""","=""33.5""","=""]""","=""1.5""","=""L16139""",
"=""87""","=""Fr IV""","=""+3""","=""Francium""","=""Po""","=""[Hg].6p4""","=""3P<2>""","=""6p3 4S*<3/2>""","=""(""","=""39.1""","="")""","=""1.7""","=""L8672c99""",
"=""87""","=""Fr V""","=""+4""","=""Francium""","=""Bi""","=""[Hg].6p3""","=""4S*<3/2>""","=""6p2 3P<0>""","=""(""","=""50.0""","="")""","=""1.9""","=""L8672c99""",
"=""87""","=""Fr VI""","=""+5""","=""Francium""","=""Pb""","=""[Hg].6p2""","=""3P0""","=""6p 2P*<1/2>""","=""(""","=""67.0""","="")""","=""2.0""","=""L8672c99""",
"=""87""","=""Fr VII""","=""+6""","=""Francium""","=""Tl""","=""[Hg].6p""","=""2P*<1/2>""","=""6s2 1S<0>""","=""(""","=""80.0""","="")""","=""2.0""","=""L8672c99""",
"=""87""","=""Fr VIII""","=""+7""","=""Francium""","=""Hg""","=""[Xe].4f14.5d10.6s2""","=""1S0""","=""6s 2S<1/2>""","=""(""","=""106.0""","="")""","=""2.1""","=""L8672c99""",
"=""87""","=""Fr IX""","=""+8""","=""Francium""","=""Au""","=""[Xe].4f14.5d10.6s""","=""2S<1/2>""","=""5d10 1S<0>""","=""(""","=""120.0""","="")""","=""2.2""","=""L8672c99""",
"=""87""","=""Fr X""","=""+9""","=""Francium""","=""Pt""","=""[Xe].4f14.5d10""","=""1S0""","=""5d9 2D<5/2>""","=""(""","=""179.0""","="")""","=""2.2""","=""L8672c99""",
"=""87""","=""Fr XI""","=""+10""","=""Francium""","=""Ir""","=""[Xe].4f14.5d9""","=""2D<5/2>""","=""5d8 3F<4>""","=""(""","=""200.0""","="")""","=""2.4""","=""L8672c99""",
"=""87""","=""Fr XII""","=""+11""","=""Francium""","=""Os""","=""[Xe].4f14.5d8""","=""3F<4>""","=""5d7 4F<9/2>""","=""(""","=""222.1""","="")""","=""2.5""","=""L8672c99""",
"=""87""","=""Fr XIII""","=""+12""","=""Francium""","=""Re""","=""[Xe].4f14.5d7""","=""4F<9/2>""","=""5d6 5D<4>""","=""(""","=""245""","="")""","=""3""","=""L8672c99""",
"=""87""","=""Fr XIV""","=""+13""","=""Francium""","=""W""","=""[Xe].4f14.5d6""","=""5D<4>""","=""5d5 6S<5/2>""","=""(""","=""269""","="")""","=""3""","=""L8672c99""",
"=""87""","=""Fr XV""","=""+14""","=""Francium""","=""Ta""","=""[Xe].4f14.5d5""","=""6S<5/2>""","=""5d4 5D<0>""","=""(""","=""293""","="")""","=""3""","=""L8672c99""",
"=""87""","=""Fr XVI""","=""+15""","=""Francium""","=""Hf""","=""[Xe].4f14.5d4""","=""5D0""","=""5d3 4F<3/2>""","=""(""","=""324""","="")""","=""3""","=""L8672c99""",
"=""87""","=""Fr XVII""","=""+16""","=""Francium""","=""Lu""","=""[Xe].4f14.5d3""","=""4F<3/2>""","=""5d2 3F<2>""","=""(""","=""349""","="")""","=""3""","=""L8672c99""",
"=""87""","=""Fr XVIII""","=""+17""","=""Francium""","=""Yb""","=""[Xe].4f14.5d2""","=""3F<2>""","=""5d 2D<3/2>""","=""(""","=""375""","="")""","=""3""","=""L8672c99""",
