At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""88""","=""Ra I""","=""0""","=""Radium""","=""Ra""","=""[Rn].7s2""","=""1S0""","=""6p6.7s 2S<1/2>""","=""""","=""5.2784239""","=""""","=""0.0000025""","=""L4979""",
"=""88""","=""Ra II""","=""+1""","=""Radium""","=""Fr""","=""[Rn].7s""","=""2S<1/2>""","=""6p6 1S<0>""","=""""","=""10.14718""","=""""","=""0.00006""","=""L19486""",
"=""88""","=""Ra III""","=""+2""","=""Radium""","=""Rn""","=""[Hg].6p6""","=""1S0""","=""6p5 2P*<3/2>""","=""(""","=""31.0""","="")""","=""1.6""","=""L8672c99""",
"=""88""","=""Ra IV""","=""+3""","=""Radium""","=""At""","=""[Hg].6p5""","=""2P*<3/2>""","=""6p4 3P<2>""","=""(""","=""41.0""","="")""","=""1.7""","=""L8672c99""",
"=""88""","=""Ra V""","=""+4""","=""Radium""","=""Po""","=""[Hg].6p4""","=""3P<2>""","=""6p3 4S*<3/2>""","=""(""","=""52.9""","="")""","=""1.9""","=""L8672c99""",
"=""88""","=""Ra VI""","=""+5""","=""Radium""","=""Bi""","=""[Hg].6p3""","=""4S*<3/2>""","=""6p2 3P<0>""","=""(""","=""64.0""","="")""","=""2.0""","=""L8672c99""",
"=""88""","=""Ra VII""","=""+6""","=""Radium""","=""Pb""","=""[Hg].6p2""","=""3P0""","=""6p 2P*<1/2>""","=""(""","=""82.0""","="")""","=""2.0""","=""L8672c99""",
"=""88""","=""Ra VIII""","=""+7""","=""Radium""","=""Tl""","=""[Hg].6p""","=""2P*<1/2>""","=""6s2 1S<0>""","=""(""","=""97.0""","="")""","=""2.1""","=""L8672c99""",
"=""88""","=""Ra IX""","=""+8""","=""Radium""","=""Hg""","=""[Xe].4f14.5d10.6s2""","=""1S0""","=""6s 2S<1/2>""","=""(""","=""124.0""","="")""","=""2.2""","=""L8672c99""",
"=""88""","=""Ra X""","=""+9""","=""Radium""","=""Au""","=""[Xe].4f14.5d10.6s""","=""2S<1/2>""","=""5d10 1S<0>""","=""(""","=""140.0""","="")""","=""2.2""","=""L8672c99""",
"=""88""","=""Ra XI""","=""+10""","=""Radium""","=""Pt""","=""[Xe].4f14.5d10""","=""1S0""","=""5d9 2D<5/2>""","=""(""","=""204.9""","="")""","=""2.4""","=""L8672c99""",
"=""88""","=""Ra XII""","=""+11""","=""Radium""","=""Ir""","=""[Xe].4f14.5d9""","=""2D<5/2>""","=""5d8 3F<4>""","=""(""","=""227.0""","="")""","=""2.5""","=""L8672c99""",
"=""88""","=""Ra XIII""","=""+12""","=""Radium""","=""Os""","=""[Xe].4f14.5d8""","=""3F<4>""","=""5d7 4F<9/2>""","=""(""","=""250""","="")""","=""3""","=""L8672c99""",
"=""88""","=""Ra XIV""","=""+13""","=""Radium""","=""Re""","=""[Xe].4f14.5d7""","=""4F<9/2>""","=""5d6 5D<4>""","=""(""","=""274""","="")""","=""3""","=""L8672c99""",
"=""88""","=""Ra XV""","=""+14""","=""Radium""","=""W""","=""[Xe].4f14.5d6""","=""5D<4>""","=""5d5 6S<5/2>""","=""(""","=""299""","="")""","=""3""","=""L8672c99""",
"=""88""","=""Ra XVI""","=""+15""","=""Radium""","=""Ta""","=""[Xe].4f14.5d5""","=""6S<5/2>""","=""5d4 5D<0>""","=""(""","=""324""","="")""","=""3""","=""L8672c99""",
