At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""89""","=""Ac I""","=""0""","=""Actinium""","=""Ac""","=""[Rn].6d.7s2""","=""2D<3/2>""","=""6p6.7s2 1S<0>""","=""""","=""5.380235""","=""""","=""0.000012""","=""L22136,L17893""",
"=""89""","=""Ac II""","=""+1""","=""Actinium""","=""Ra""","=""[Rn].7s2""","=""1S0""","=""6p6.7s 2S<1/2>""","=""[""","=""11.75""","=""]""","=""0.03""","=""L15123""",
"=""89""","=""Ac III""","=""+2""","=""Actinium""","=""Fr""","=""[Rn].7s""","=""2S<1/2>""","=""6p6 1S<0>""","=""[""","=""17.436""","=""]""","=""0.006""","=""L22136,L12354,L22076""",
"=""89""","=""Ac IV""","=""+3""","=""Actinium""","=""Rn""","=""[Hg].6p6""","=""1S0""","=""6p5 2P*<3/2>""","=""[""","=""44.8""","=""]""","=""1.4""","=""L13741""",
"=""89""","=""Ac V""","=""+4""","=""Actinium""","=""At""","=""[Hg].6p5""","=""2P*<3/2>""","=""6p4 3P<2>""","=""(""","=""55.0""","="")""","=""1.9""","=""L8672c99""",
"=""89""","=""Ac VI""","=""+5""","=""Actinium""","=""Po""","=""[Hg].6p4""","=""3P<2>""","=""6p3 4S*<3/2>""","=""(""","=""67.0""","="")""","=""2.0""","=""L8672c99""",
"=""89""","=""Ac VII""","=""+6""","=""Actinium""","=""Bi""","=""[Hg].6p3""","=""4S*<3/2>""","=""6p2 3P<0>""","=""(""","=""79.0""","="")""","=""2.0""","=""L8672c99""",
"=""89""","=""Ac VIII""","=""+7""","=""Actinium""","=""Pb""","=""[Hg].6p2""","=""3P0""","=""6p 2P*<1/2>""","=""(""","=""98.9""","="")""","=""2.1""","=""L8672c99""",
"=""89""","=""Ac IX""","=""+8""","=""Actinium""","=""Tl""","=""[Hg].6p""","=""2P*<1/2>""","=""6s2 1S<0>""","=""(""","=""113.9""","="")""","=""2.2""","=""L8672c99""",
"=""89""","=""Ac X""","=""+9""","=""Actinium""","=""Hg""","=""[Xe].4f14.5d10.6s2""","=""1S0""","=""6s 2S<1/2>""","=""(""","=""143.9""","="")""","=""2.2""","=""L8672c99""",
"=""89""","=""Ac XI""","=""+10""","=""Actinium""","=""Au""","=""[Xe].4f14.5d10.6s""","=""2S<1/2>""","=""5d10 1S<0>""","=""(""","=""161.1""","="")""","=""2.4""","=""L8672c99""",
"=""89""","=""Ac XII""","=""+11""","=""Actinium""","=""Pt""","=""[Xe].4f14.5d10""","=""1S0""","=""5d9 2D<5/2>""","=""(""","=""233.0""","="")""","=""2.5""","=""L8672c99""",
"=""89""","=""Ac XIII""","=""+12""","=""Actinium""","=""Ir""","=""[Xe].4f14.5d9""","=""2D<5/2>""","=""5d8 3F<4>""","=""(""","=""255""","="")""","=""3""","=""L8672c99""",
"=""89""","=""Ac XIV""","=""+13""","=""Actinium""","=""Os""","=""[Xe].4f14.5d8""","=""3F<4>""","=""5d7 4F<9/2>""","=""(""","=""279""","="")""","=""3""","=""L8672c99""",
"=""89""","=""Ac XV""","=""+14""","=""Actinium""","=""Re""","=""[Xe].4f14.5d7""","=""4F<9/2>""","=""5d6 5D<4>""","=""(""","=""305""","="")""","=""3""","=""L8672c99""",
"=""89""","=""Ac XVI""","=""+15""","=""Actinium""","=""W""","=""[Xe].4f14.5d6""","=""5D<4>""","=""5d5 6S<5/2>""","=""(""","=""330""","="")""","=""3""","=""L8672c99""",
"=""89""","=""Ac XVII""","=""+16""","=""Actinium""","=""Ta""","=""[Xe].4f14.5d5""","=""6S<5/2>""","=""5d4 5D<0>""","=""(""","=""355""","="")""","=""3""","=""L8672c99""",
"=""89""","=""Ac XVIII""","=""+17""","=""Actinium""","=""Hf""","=""[Xe].4f14.5d4""","=""5D0""","=""5d3 4F<3/2>""","=""(""","=""390""","="")""","=""3""","=""L8672c99""",
"=""89""","=""Ac XIX""","=""+18""","=""Actinium""","=""Lu""","=""[Xe].4f14.5d3""","=""4F<3/2>""","=""5d2 3F<2>""","=""(""","=""416""","="")""","=""3""","=""L8672c99""",
"=""89""","=""Ac XX""","=""+19""","=""Actinium""","=""Yb""","=""[Xe].4f14.5d2""","=""3F<2>""","=""5d 2D<3/2>""","=""(""","=""444""","="")""","=""4""","=""L8672c99""",
"=""89""","=""Ac XXI""","=""+20""","=""Actinium""","=""Tm""","=""[Xe].4f14.5d""","=""2D<3/2>""","=""4f14 1S<0>""","=""(""","=""470""","="")""","=""4""","=""L8672c99""",
"=""89""","=""Ac XXII""","=""+21""","=""Actinium""","=""Er""","=""[Xe].4f14""","=""1S0""","=""4f14.5p5 2P*<3/2>""","=""(""","=""610""","="")""","=""30""","=""L582""",
"=""89""","=""Ac XXIII""","=""+22""","=""Actinium""","=""Ho""","=""[Cd].4f14.5p5""","=""2P*<3/2>""","=""4f14.5p4 3P<2>""","=""(""","=""640""","="")""","=""30""","=""L582""",
"=""89""","=""Ac XXIV""","=""+23""","=""Actinium""","=""Dy""","=""[Cd].4f14.5p4""","=""3P<2>""","=""4f14.5p3 2P*<3/2>""","=""(""","=""670""","="")""","=""30""","=""L582""",
"=""89""","=""Ac XXV""","=""+24""","=""Actinium""","=""Tb""","=""[Cd].4f14.5p3""","=""2P*<3/2>""","=""4f14.5p2 3P<0>""","=""(""","=""710""","="")""","=""40""","=""L582""",
"=""89""","=""Ac XXVI""","=""+25""","=""Actinium""","=""Gd""","=""[Cd].4f14.5p2""","=""3P0""","=""4f14.5p 2P*<1/2>""","=""(""","=""780""","="")""","=""40""","=""L582""",
"=""89""","=""Ac XXVII""","=""+26""","=""Actinium""","=""Eu""","=""[Cd].4f14.5p""","=""2P*<1/2>""","=""4f14 1S<0>""","=""(""","=""820""","="")""","=""40""","=""L582""",
"=""89""","=""Ac XXVIII""","=""+27""","=""Actinium""","=""Sm""","=""[Cd].4f14""","=""1S0""","=""4f14.5s 2S<1/2>""","=""(""","=""920""","="")""","=""50""","=""L582""",
"=""89""","=""Ac XXIX""","=""+28""","=""Actinium""","=""Pm""","=""[Kr].4d10.4f14.5s""","=""2S<1/2>""","=""4f14 1S<0>""","=""(""","=""950""","="")""","=""50""","=""L582""",
"=""89""","=""Ac XXX""","=""+29""","=""Actinium""","=""Nd""","=""[Kr].4d10.4f14""","=""1S0""","=""4f13 2F*<7/2>""","=""(""","=""1030""","="")""","=""50""","=""L582""",
"=""89""","=""Ac XXXI""","=""+30""","=""Actinium""","=""Pr""","=""[Kr].4d10.4f13""","=""2F*<7/2>""","=""4f12""","=""(""","=""1100""","="")""","=""50""","=""L582""",
"=""89""","=""Ac XXXII""","=""+31""","=""Actinium""","=""Ce""","=""[Kr].4d10.4f12""","=""""","=""4f11 4I*<15/2>""","=""(""","=""1170""","="")""","=""60""","=""L582""",
"=""89""","=""Ac XXXIII""","=""+32""","=""Actinium""","=""La""","=""[Kr].4d10.4f11""","=""4I*<15/2>""","=""4f10 5I<8>""","=""(""","=""1240""","="")""","=""60""","=""L582""",
"=""89""","=""Ac XXXIV""","=""+33""","=""Actinium""","=""Ba""","=""[Kr].4d10.4f10""","=""5I<8>""","=""4f9 6H*<15/2>""","=""(""","=""1310""","="")""","=""70""","=""L582""",
"=""89""","=""Ac XXXV""","=""+34""","=""Actinium""","=""Cs""","=""[Kr].4d10.4f9""","=""6H*<15/2>""","=""4f8 7F<6>""","=""(""","=""1380""","="")""","=""70""","=""L582""",
"=""89""","=""Ac XXXVI""","=""+35""","=""Actinium""","=""Xe""","=""[Kr].4d10.4f8""","=""7F<6>""","=""4f7 8S*<7/2>""","=""(""","=""1460""","="")""","=""70""","=""L582""",
"=""89""","=""Ac XXXVII""","=""+36""","=""Actinium""","=""I""","=""[Kr].4d10.4f7""","=""8S*<7/2>""","=""4f6 7F<0>""","=""(""","=""1530""","="")""","=""80""","=""L582""",
"=""89""","=""Ac XXXVIII""","=""+37""","=""Actinium""","=""Te""","=""[Kr].4d10.4f6""","=""7F0""","=""4f5 6H*<5/2>""","=""(""","=""1610""","="")""","=""80""","=""L582""",
"=""89""","=""Ac XXXIX""","=""+38""","=""Actinium""","=""Sb""","=""[Kr].4d10.4f5""","=""6H*<5/2>""","=""4f4 5I<4>""","=""(""","=""1680""","="")""","=""80""","=""L582""",
"=""89""","=""Ac XL""","=""+39""","=""Actinium""","=""Sn""","=""[Kr].4d10.4f4""","=""5I<4>""","=""4f3 4I*<9/2>""","=""(""","=""1750""","="")""","=""90""","=""L582""",
"=""89""","=""Ac XLI""","=""+40""","=""Actinium""","=""In""","=""[Kr].4d10.4f3""","=""4I*<9/2>""","=""4f2 3H<4>""","=""(""","=""1820""","="")""","=""90""","=""L582""",
"=""89""","=""Ac XLII""","=""+41""","=""Actinium""","=""Cd""","=""[Kr].4d10.4f2""","=""3H<4>""","=""4f 2F*<5/2>""","=""(""","=""1900""","="")""","=""100""","=""L582""",
"=""89""","=""Ac XLIII""","=""+42""","=""Actinium""","=""Ag""","=""[Kr].4d10.4f""","=""2F*<5/2>""","=""4d10 1S<0>""","=""(""","=""1970""","="")""","=""100""","=""L582""",
"=""89""","=""Ac XLIV""","=""+43""","=""Actinium""","=""Pd""","=""[Kr].4d10""","=""1S0""","=""4d9 2D<5/2>""","=""(""","=""2298""","="")""","=""4""","=""L8672c99""",
"=""89""","=""Ac XLV""","=""+44""","=""Actinium""","=""Rh""","=""[Kr].4d9""","=""2D<5/2>""","=""4d8 3F<4>""","=""(""","=""2362""","="")""","=""4""","=""L8672c99""",
"=""89""","=""Ac XLVI""","=""+45""","=""Actinium""","=""Ru""","=""[Kr].4d8""","=""3F<4>""","=""4d7 4F<9/2>""","=""(""","=""2430""","="")""","=""4""","=""L8672c99""",
"=""89""","=""Ac XLVII""","=""+46""","=""Actinium""","=""Tc""","=""[Kr].4d7""","=""4F<9/2>""","=""4d6 5D<4>""","=""(""","=""2503""","="")""","=""4""","=""L8672c99""",
"=""89""","=""Ac XLVIII""","=""+47""","=""Actinium""","=""Mo""","=""[Kr].4d6""","=""5D<4>""","=""4d-4.4d+ (0,5/2)<5/2>""","=""(""","=""2572""","="")""","=""4""","=""L8672c99""",
"=""89""","=""Ac XLIX""","=""+48""","=""Actinium""","=""Nb""","=""[Kr].4d5""","=""(0,5/2)<5/2>""","=""4d4 5D<0>""","=""(""","=""2639""","="")""","=""4""","=""L8672c99""",
"=""89""","=""Ac L""","=""+49""","=""Actinium""","=""Zr""","=""[Kr].4d4""","=""5D0""","=""4d3 4F<3/2>""","=""(""","=""2762""","="")""","=""4""","=""L8672c99""",
"=""89""","=""Ac LI""","=""+50""","=""Actinium""","=""Y""","=""[Kr].4d3""","=""4F<3/2>""","=""4d2 3F<2>""","=""(""","=""2833""","="")""","=""4""","=""L8672c99""",
"=""89""","=""Ac LII""","=""+51""","=""Actinium""","=""Sr""","=""[Kr].4d2""","=""3F<2>""","=""4d 2D<3/2>""","=""(""","=""2908""","="")""","=""4""","=""L8672c99""",
"=""89""","=""Ac LIII""","=""+52""","=""Actinium""","=""Rb""","=""[Kr].4d""","=""2D<3/2>""","=""4p6 1S<0>""","=""(""","=""2980""","="")""","=""4""","=""L8672c99""",
"=""89""","=""Ac LIV""","=""+53""","=""Actinium""","=""Kr""","=""[Ar].3d10.4s2.4p6""","=""1S0""","=""4p5 2P*<3/2>""","=""(""","=""3264""","="")""","=""5""","=""L8672c99""",
"=""89""","=""Ac LV""","=""+54""","=""Actinium""","=""Br""","=""[Ar].3d10.4s2.4p5""","=""2P*<3/2>""","=""4p4 3P<2>""","=""(""","=""3334""","="")""","=""5""","=""L8672c99""",
"=""89""","=""Ac LVI""","=""+55""","=""Actinium""","=""Se""","=""[Ar].3d10.4s2.4p4""","=""3P<2>""","=""4p-2.4p+ (0,3/2)*<3/2>""","=""(""","=""3409""","="")""","=""5""","=""L8672c99""",
"=""89""","=""Ac LVII""","=""+56""","=""Actinium""","=""As""","=""[Ar].3d10.4s2.4p3""","=""(0,3/2)*<3/2>""","=""4p2 3P<0>""","=""(""","=""3479""","="")""","=""5""","=""L8672c99""",
"=""89""","=""Ac LVIII""","=""+57""","=""Actinium""","=""Ge""","=""[Ar].3d10.4s2.4p2""","=""3P0""","=""4p 2P*<1/2>""","=""(""","=""3811""","="")""","=""6""","=""L8672c99""",
