At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""90""","=""Th I""","=""0""","=""Thorium""","=""Th""","=""[Rn].6d2.7s2""","=""3F<2>""","=""6d.7s2 2D<3/2>""","=""""","=""6.30670""","=""""","=""0.00025""","=""L15992""",
"=""90""","=""Th II""","=""+1""","=""Thorium""","=""Ac""","=""[Rn].6d.7s2""","=""2D<3/2>""","=""5f.6d 3H*<4>""","=""""","=""12.10""","=""""","=""0.20""","=""L18620""",
"=""90""","=""Th III""","=""+2""","=""Thorium""","=""Ra""","=""[Rn].5f.6d""","=""3H*<4>""","=""5f.6p6 2F*<5/2>""","=""[""","=""18.32""","=""]""","=""0.05""","=""L14620,L5541""",
"=""90""","=""Th IV""","=""+3""","=""Thorium""","=""Fr""","=""[Rn].5f""","=""2F*<5/2>""","=""6p6 1S<0>""","=""""","=""28.648""","=""""","=""0.025""","=""L14620,L10110""",
"=""90""","=""Th V""","=""+4""","=""Thorium""","=""Rn""","=""[Hg].6p6""","=""1S0""","=""6p5 2P*<3/2>""","=""(""","=""58.0""","="")""","=""1.9""","=""L8672c99""",
"=""90""","=""Th VI""","=""+5""","=""Thorium""","=""At""","=""[Hg].6p5""","=""2P*<3/2>""","=""6p4 3P<2>""","=""(""","=""69.1""","="")""","=""2.0""","=""L8672c99""",
"=""90""","=""Th VII""","=""+6""","=""Thorium""","=""Po""","=""[Hg].6p4""","=""3P<2>""","=""6p3 4S*<3/2>""","=""(""","=""82.0""","="")""","=""2.0""","=""L8672c99""",
"=""90""","=""Th VIII""","=""+7""","=""Thorium""","=""Bi""","=""[Hg].6p3""","=""4S*<3/2>""","=""6p2 3P<0>""","=""(""","=""95.0""","="")""","=""2.1""","=""L8672c99""",
"=""90""","=""Th IX""","=""+8""","=""Thorium""","=""Pb""","=""[Hg].6p2""","=""3P0""","=""6p 2P*<1/2>""","=""(""","=""118.0""","="")""","=""2.2""","=""L8672c99""",
"=""90""","=""Th X""","=""+9""","=""Thorium""","=""Tl""","=""[Hg].6p""","=""2P*<1/2>""","=""6s2 1S<0>""","=""(""","=""133.0""","="")""","=""2.2""","=""L8672c99""",
"=""90""","=""Th XI""","=""+10""","=""Thorium""","=""Hg""","=""[Xe].4f14.5d10.6s2""","=""1S0""","=""6s 2S<1/2>""","=""(""","=""165.0""","="")""","=""2.4""","=""L8672c99""",
"=""90""","=""Th XII""","=""+11""","=""Thorium""","=""Au""","=""[Xe].4f14.5d10.6s""","=""2S<1/2>""","=""5d10 1S<0>""","=""(""","=""181.0""","="")""","=""2.5""","=""L8672c99""",
"=""90""","=""Th XIII""","=""+12""","=""Thorium""","=""Pt""","=""[Xe].4f14.5d10""","=""1S0""","=""5d9 2D<5/2>""","=""(""","=""262""","="")""","=""3""","=""L8672c99""",
"=""90""","=""Th XIV""","=""+13""","=""Thorium""","=""Ir""","=""[Xe].4f14.5d9""","=""2D<5/2>""","=""5d8 3F<4>""","=""(""","=""285""","="")""","=""3""","=""L8672c99""",
"=""90""","=""Th XV""","=""+14""","=""Thorium""","=""Os""","=""[Xe].4f14.5d8""","=""3F<4>""","=""5d7 4F<9/2>""","=""(""","=""310""","="")""","=""3""","=""L8672c99""",
