At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""91""","=""Pa I""","=""0""","=""Protactinium""","=""Pa""","=""[Rn].5f2.6d.7s2""","=""4K<11/2>""","=""5f2.7s2 3H<4>""","=""[""","=""5.89""","=""]""","=""0.12""","=""L16359""",
"=""91""","=""Pa II""","=""+1""","=""Protactinium""","=""Th""","=""[Rn].5f2.7s2""","=""3H<4>""","=""5f2.6d 4I<11/2>""","=""[""","=""11.9""","=""]""","=""0.4""","=""L13741c99""",
"=""91""","=""Pa III""","=""+2""","=""Protactinium""","=""Ac""","=""[Rn].5f2.6d""","=""4I<11/2>""","=""5f2.6p6 3H<4>""","=""[""","=""18.6""","=""]""","=""0.4""","=""L13741c99""",
"=""91""","=""Pa IV""","=""+3""","=""Protactinium""","=""Ra""","=""[Rn].5f2""","=""3H<4>""","=""5f.6p6 2F*<5/2>""","=""[""","=""30.9""","=""]""","=""0.4""","=""L13741c99""",
"=""91""","=""Pa V""","=""+4""","=""Protactinium""","=""Fr""","=""[Rn].5f""","=""2F*<5/2>""","=""6p6 1S<0>""","=""(""","=""44.3""","="")""","=""0.4""","=""L12354c99""",
"=""91""","=""Pa VI""","=""+5""","=""Protactinium""","=""Rn""","=""[Hg].6p6""","=""1S0""","=""6p5 2P*<3/2>""","=""(""","=""72.0""","="")""","=""2.0""","=""L8672c99""",
"=""91""","=""Pa VII""","=""+6""","=""Protactinium""","=""At""","=""[Hg].6p5""","=""2P*<3/2>""","=""6p4 3P<2>""","=""(""","=""85.1""","="")""","=""2.0""","=""L8672c99""",
"=""91""","=""Pa VIII""","=""+7""","=""Protactinium""","=""Po""","=""[Hg].6p4""","=""3P<2>""","=""6p3 4S*<3/2>""","=""(""","=""98.9""","="")""","=""2.1""","=""L8672c99""",
"=""91""","=""Pa IX""","=""+8""","=""Protactinium""","=""Bi""","=""[Hg].6p3""","=""4S*<3/2>""","=""6p2 3P<0>""","=""(""","=""111.0""","="")""","=""2.2""","=""L8672c99""",
"=""91""","=""Pa X""","=""+9""","=""Protactinium""","=""Pb""","=""[Hg].6p2""","=""3P0""","=""6p 2P*<1/2>""","=""(""","=""137.0""","="")""","=""2.2""","=""L8672c99""",
