At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""92""","=""U I""","=""0""","=""Uranium""","=""U""","=""[Rn].5f3.6d.7s2""","=""5L*<6>""","=""5f3.7s2 4I*<9/2>""","=""""","=""6.19405""","=""""","=""0.00006""","=""L5494,L7765""",
"=""92""","=""U II""","=""+1""","=""Uranium""","=""Pa""","=""[Rn].5f3.7s2""","=""4I*<9/2>""","=""5f4 5I<4>""","=""""","=""11.6""","=""""","=""0.4""","=""L14620""",
"=""92""","=""U III""","=""+2""","=""Uranium""","=""Th""","=""[Rn].5f4""","=""5I<4>""","=""5f3.6p6 4I*<9/2>""","=""""","=""19.8""","=""""","=""0.3""","=""L14620""",
"=""92""","=""U IV""","=""+3""","=""Uranium""","=""Ac""","=""[Rn].5f3""","=""4I*<9/2>""","=""5f2.6p6 3H<4>""","=""""","=""36.7""","=""""","=""1.0""","=""L14620""",
"=""92""","=""U V""","=""+4""","=""Uranium""","=""Ra""","=""[Rn].5f2""","=""3H<4>""","=""5f.6p6 2F*<5/2>""","=""(""","=""46.0""","="")""","=""1.9""","=""L8672c99""",
"=""92""","=""U VI""","=""+5""","=""Uranium""","=""Fr""","=""[Rn].5f""","=""2F*<5/2>""","=""6p6 1S<0>""","=""[""","=""62.0""","=""]""","=""1.6""","=""L14620""",
"=""92""","=""U VII""","=""+6""","=""Uranium""","=""Rn""","=""[Hg].6p6""","=""1S0""","=""6p5 2P*<3/2>""","=""(""","=""89.0""","="")""","=""2.0""","=""L8672c99""",
"=""92""","=""U VIII""","=""+7""","=""Uranium""","=""At""","=""[Hg].6p5""","=""2P*<3/2>""","=""6p4 3P<2>""","=""(""","=""101.0""","="")""","=""2.1""","=""L8672c99""",
"=""92""","=""U IX""","=""+8""","=""Uranium""","=""Po""","=""[Hg].6p4""","=""3P<2>""","=""6p3 4S*<3/2>""","=""(""","=""116.0""","="")""","=""2.2""","=""L8672c99""",
"=""92""","=""U X""","=""+9""","=""Uranium""","=""Bi""","=""[Hg].6p3""","=""4S*<3/2>""","=""6p2 3P<0>""","=""(""","=""128.9""","="")""","=""2.2""","=""L8672c99""",
"=""92""","=""U XI""","=""+10""","=""Uranium""","=""Pb""","=""[Hg].6p2""","=""3P0""","=""6p 2P*<1/2>""","=""(""","=""158.0""","="")""","=""2.4""","=""L8672c99""",
"=""92""","=""U XII""","=""+11""","=""Uranium""","=""Tl""","=""[Hg].6p""","=""2P*<1/2>""","=""6s2 1S<0>""","=""(""","=""173.0""","="")""","=""2.5""","=""L8672c99""",
"=""92""","=""U XIII""","=""+12""","=""Uranium""","=""Hg""","=""[Xe].4f14.5d10.6s2""","=""1S0""","=""6s 2S<1/2>""","=""(""","=""210""","="")""","=""3""","=""L8672c99""",
"=""92""","=""U XIV""","=""+13""","=""Uranium""","=""Au""","=""[Xe].4f14.5d10.6s""","=""2S<1/2>""","=""5d10 1S<0>""","=""(""","=""227""","="")""","=""3""","=""L8672c99""",
