At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""93""","=""Np I""","=""0""","=""Neptunium""","=""Np""","=""[Rn].5f4.6d.7s2""","=""6L<11/2>""","=""5f4.6d.7s 7L<5>""","=""""","=""6.265608""","=""""","=""0.000019""","=""L23048""",
"=""93""","=""Np II""","=""+1""","=""Neptunium""","=""U""","=""[Rn].5f4.6d.7s""","=""7L<5>""","=""5f5 6H*<5/2>""","=""[""","=""11.5""","=""]""","=""0.4""","=""L13741c99""",
"=""93""","=""Np III""","=""+2""","=""Neptunium""","=""Pa""","=""[Rn].5f5""","=""6H*<5/2>""","=""5f4 5I<4>""","=""[""","=""19.7""","=""]""","=""0.4""","=""L13741c99""",
"=""93""","=""Np IV""","=""+3""","=""Neptunium""","=""Th""","=""[Rn].5f4""","=""5I<4>""","=""5f3.6p6 4I*<9/2>""","=""[""","=""33.8""","=""]""","=""0.4""","=""L13741c99""",
"=""93""","=""Np V""","=""+4""","=""Neptunium""","=""Ac""","=""[Rn].5f3""","=""4I*<9/2>""","=""5f2.6p6 3H<4>""","=""(""","=""48.0""","="")""","=""1.9""","=""L8672c99""",
"=""93""","=""Np VI""","=""+5""","=""Neptunium""","=""Ra""","=""[Rn].5f2""","=""3H<4>""","=""5f.6p6 2F*<5/2>""","=""(""","=""65.0""","="")""","=""2.0""","=""L8672c99""",
"=""93""","=""Np VII""","=""+6""","=""Neptunium""","=""Fr""","=""[Rn].5f""","=""2F*<5/2>""","=""5f.6p5""","=""(""","=""92""","="")""","=""5""","=""L582""",
"=""93""","=""Np VIII""","=""+7""","=""Neptunium""","=""Rn""","=""[Hg].5f.6p5""","=""""","=""5f.6p4*""","=""(""","=""107""","="")""","=""5""","=""L582""",
"=""93""","=""Np IX""","=""+8""","=""Neptunium""","=""At""","=""[Hg].5f.6p4""","=""*""","=""5f.6p3""","=""(""","=""121""","="")""","=""6""","=""L582""",
"=""93""","=""Np X""","=""+9""","=""Neptunium""","=""Po""","=""[Hg].5f.6p3""","=""""","=""5f.6p2*""","=""(""","=""136""","="")""","=""7""","=""L582""",
"=""93""","=""Np XI""","=""+10""","=""Neptunium""","=""Bi""","=""[Hg].5f.6p2""","=""*""","=""6p2 3P<0>""","=""(""","=""151""","="")""","=""8""","=""L582""",
"=""93""","=""Np XII""","=""+11""","=""Neptunium""","=""Pb""","=""[Hg].6p2""","=""3P0""","=""6p 2P*<1/2>""","=""(""","=""179.0""","="")""","=""2.5""","=""L8672c99""",
