At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""94""","=""Pu I""","=""0""","=""Plutonium""","=""Pu""","=""[Rn].5f6.7s2""","=""7F0""","=""5f6.7s 8F<1/2>""","=""""","=""6.02576""","=""""","=""0.00025""","=""L15992,L11260""",
"=""94""","=""Pu II""","=""+1""","=""Plutonium""","=""Np""","=""[Rn].5f6.7s""","=""8F<1/2>""","=""5f6 7F<0>""","=""[""","=""11.5""","=""]""","=""0.4""","=""L13741c99""",
"=""94""","=""Pu III""","=""+2""","=""Plutonium""","=""U""","=""[Rn].5f6""","=""7F0""","=""5f5 6H*<5/2>""","=""[""","=""21.1""","=""]""","=""0.4""","=""L13741c99""",
"=""94""","=""Pu IV""","=""+3""","=""Plutonium""","=""Pa""","=""[Rn].5f5""","=""6H*<5/2>""","=""5f4 5I<4>""","=""[""","=""35.0""","=""]""","=""0.4""","=""L13741c99""",
"=""94""","=""Pu V""","=""+4""","=""Plutonium""","=""Th""","=""[Rn].5f4""","=""5I<4>""","=""5f3.6p6 4I*<9/2>""","=""(""","=""49.0""","="")""","=""1.9""","=""L8672c99""",
"=""94""","=""Pu VI""","=""+5""","=""Plutonium""","=""Ac""","=""[Rn].5f3""","=""4I*<9/2>""","=""5f3.6p5""","=""(""","=""80""","="")""","=""4""","=""L582""",
"=""94""","=""Pu VII""","=""+6""","=""Plutonium""","=""Ra""","=""[Hg].5f3.6p5""","=""""","=""5f3.6p4*""","=""(""","=""95""","="")""","=""5""","=""L582""",
"=""94""","=""Pu VIII""","=""+7""","=""Plutonium""","=""Fr""","=""[Hg].5f3.6p4""","=""*""","=""5f3.6p3""","=""(""","=""109""","="")""","=""5""","=""L582""",
"=""94""","=""Pu IX""","=""+8""","=""Plutonium""","=""Rn""","=""[Hg].5f3.6p3""","=""""","=""5f3.6p2*""","=""(""","=""124""","="")""","=""6""","=""L582""",
"=""94""","=""Pu X""","=""+9""","=""Plutonium""","=""At""","=""[Hg].5f3.6p2""","=""*""","=""5f2.6p2""","=""(""","=""139""","="")""","=""7""","=""L582""",
"=""94""","=""Pu XI""","=""+10""","=""Plutonium""","=""Po""","=""[Hg].5f2.6p2""","=""""","=""5f.6p2*""","=""(""","=""159""","="")""","=""8""","=""L582""",
"=""94""","=""Pu XII""","=""+11""","=""Plutonium""","=""Bi""","=""[Hg].5f.6p2""","=""*""","=""6p2 3P<0>""","=""(""","=""179""","="")""","=""9""","=""L582""",
"=""94""","=""Pu XIII""","=""+12""","=""Plutonium""","=""Pb""","=""[Hg].6p2""","=""3P0""","=""6p 2P*<1/2>""","=""(""","=""200""","="")""","=""3""","=""L8672c99""",
"=""94""","=""Pu XIV""","=""+13""","=""Plutonium""","=""Tl""","=""[Hg].6p""","=""2P*<1/2>""","=""6s2 1S<0>""","=""(""","=""219""","="")""","=""3""","=""L8672c99""",
"=""94""","=""Pu XV""","=""+14""","=""Plutonium""","=""Hg""","=""[Xe].4f14.5d10.6s2""","=""1S0""","=""6s 2S<1/2>""","=""(""","=""258""","="")""","=""3""","=""L8672c99""",
"=""94""","=""Pu XVI""","=""+15""","=""Plutonium""","=""Au""","=""[Xe].4f14.5d10.6s""","=""2S<1/2>""","=""5d10 1S<0>""","=""(""","=""278""","="")""","=""3""","=""L8672c99""",
"=""94""","=""Pu XVII""","=""+16""","=""Plutonium""","=""Pt""","=""[Xe].4f14.5d10""","=""1S0""","=""5d9 2D<5/2>""","=""(""","=""389""","="")""","=""3""","=""L8672c99""",
"=""94""","=""Pu XVIII""","=""+17""","=""Plutonium""","=""Ir""","=""[Xe].4f14.5d9""","=""2D<5/2>""","=""5d8 3F<4>""","=""(""","=""416""","="")""","=""3""","=""L8672c99""",
