At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""95""","=""Am I""","=""0""","=""Americium""","=""Am""","=""[Rn].5f7.7s2""","=""8S*<7/2>""","=""5f7.7s 9S*<4>""","=""""","=""5.97381""","=""""","=""0.00025""","=""L15992""",
"=""95""","=""Am II""","=""+1""","=""Americium""","=""Pu""","=""[Rn].5f7.7s""","=""9S*<4>""","=""5f7 8S*<7/2>""","=""[""","=""11.7""","=""]""","=""0.4""","=""L13741c99""",
"=""95""","=""Am III""","=""+2""","=""Americium""","=""Np""","=""[Rn].5f7""","=""8S*<7/2>""","=""5f6 7F<0>""","=""[""","=""21.7""","=""]""","=""0.4""","=""L13741c99""",
"=""95""","=""Am IV""","=""+3""","=""Americium""","=""U""","=""[Rn].5f6""","=""7F0""","=""5f5 6H*<5/2>""","=""[""","=""36.8""","=""]""","=""0.4""","=""L13741c99""",
"=""95""","=""Am V""","=""+4""","=""Americium""","=""Pa""","=""[Rn].5f5""","=""6H*<5/2>""","=""5f4 5I<4>""","=""(""","=""50.0""","="")""","=""1.9""","=""L8672c99""",
"=""95""","=""Am VI""","=""+5""","=""Americium""","=""Th""","=""[Rn].5f4""","=""5I<4>""","=""5f3.6p6 4I*<9/2>""","=""(""","=""67.9""","="")""","=""2.0""","=""L8672c99""",
"=""95""","=""Am VII""","=""+6""","=""Americium""","=""Ac""","=""[Rn].5f3""","=""4I*<9/2>""","=""5f3.6p5""","=""(""","=""95""","="")""","=""5""","=""L582""",
"=""95""","=""Am VIII""","=""+7""","=""Americium""","=""Ra""","=""[Hg].5f3.6p5""","=""""","=""5f3.6p4*""","=""(""","=""110""","="")""","=""6""","=""L582""",
"=""95""","=""Am IX""","=""+8""","=""Americium""","=""Fr""","=""[Hg].5f3.6p4""","=""*""","=""5f3.6p3""","=""(""","=""125""","="")""","=""6""","=""L582""",
"=""95""","=""Am X""","=""+9""","=""Americium""","=""Rn""","=""[Hg].5f3.6p3""","=""""","=""5f3.6p2*""","=""(""","=""141""","="")""","=""7""","=""L582""",
"=""95""","=""Am XI""","=""+10""","=""Americium""","=""At""","=""[Hg].5f3.6p2""","=""*""","=""5f2.6p2""","=""(""","=""163""","="")""","=""8""","=""L582""",
"=""95""","=""Am XII""","=""+11""","=""Americium""","=""Po""","=""[Hg].5f2.6p2""","=""""","=""5f.6p2*""","=""(""","=""184""","="")""","=""9""","=""L582""",
"=""95""","=""Am XIII""","=""+12""","=""Americium""","=""Bi""","=""[Hg].5f.6p2""","=""*""","=""6p2 3P<0>""","=""(""","=""206""","="")""","=""10""","=""L582""",
"=""95""","=""Am XIV""","=""+13""","=""Americium""","=""Pb""","=""[Hg].6p2""","=""3P0""","=""6p 2P*<1/2>""","=""(""","=""225""","="")""","=""3""","=""L8672c99""",
"=""95""","=""Am XV""","=""+14""","=""Americium""","=""Tl""","=""[Hg].6p""","=""2P*<1/2>""","=""6s2 1S<0>""","=""(""","=""242""","="")""","=""3""","=""L8672c99""",
"=""95""","=""Am XVI""","=""+15""","=""Americium""","=""Hg""","=""[Xe].4f14.5d10.6s2""","=""1S0""","=""6s 2S<1/2>""","=""(""","=""284""","="")""","=""3""","=""L8672c99""",
"=""95""","=""Am XVII""","=""+16""","=""Americium""","=""Au""","=""[Xe].4f14.5d10.6s""","=""2S<1/2>""","=""5d10 1S<0>""","=""(""","=""305""","="")""","=""3""","=""L8672c99""",
"=""95""","=""Am XVIII""","=""+17""","=""Americium""","=""Pt""","=""[Xe].4f14.5d10""","=""1S0""","=""5d9 2D<5/2>""","=""(""","=""424""","="")""","=""3""","=""L8672c99""",
"=""95""","=""Am XIX""","=""+18""","=""Americium""","=""Ir""","=""[Xe].4f14.5d9""","=""2D<5/2>""","=""5d8 3F<4>""","=""(""","=""451""","="")""","=""3""","=""L8672c99""",
"=""95""","=""Am XX""","=""+19""","=""Americium""","=""Os""","=""[Xe].4f14.5d8""","=""3F<4>""","=""5d7 4F<9/2>""","=""(""","=""481""","="")""","=""4""","=""L8672c99""",
"=""95""","=""Am XXI""","=""+20""","=""Americium""","=""Re""","=""[Xe].4f14.5d7""","=""4F<9/2>""","=""5d6 5D<4>""","=""(""","=""511""","="")""","=""4""","=""L8672c99""",
"=""95""","=""Am XXII""","=""+21""","=""Americium""","=""W""","=""[Xe].4f14.5d6""","=""5D<4>""","=""5d5 6S<5/2>""","=""(""","=""541""","="")""","=""4""","=""L8672c99""",
"=""95""","=""Am XXIII""","=""+22""","=""Americium""","=""Ta""","=""[Xe].4f14.5d5""","=""6S<5/2>""","=""5d4 5D<0>""","=""(""","=""571""","="")""","=""4""","=""L8672c99""",
"=""95""","=""Am XXIV""","=""+23""","=""Americium""","=""Hf""","=""[Xe].4f14.5d4""","=""5D0""","=""5d3 4F<3/2>""","=""(""","=""616""","="")""","=""4""","=""L8672c99""",
"=""95""","=""Am XXV""","=""+24""","=""Americium""","=""Lu""","=""[Xe].4f14.5d3""","=""4F<3/2>""","=""5d2 3F<2>""","=""(""","=""646""","="")""","=""4""","=""L8672c99""",
