At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""96""","=""Cm I""","=""0""","=""Curium""","=""Cm""","=""[Rn].5f7.6d.7s2""","=""9D*<2>""","=""5f7.7s2 8S*<7/2>""","=""""","=""5.992241""","=""""","=""0.000020""","=""L22423""",
"=""96""","=""Cm II""","=""+1""","=""Curium""","=""Am""","=""[Rn].5f7.7s2""","=""8S*<7/2>""","=""5f8 7F<6>""","=""[""","=""12.4""","=""]""","=""0.4""","=""L13741c99""",
"=""96""","=""Cm III""","=""+2""","=""Curium""","=""Pu""","=""[Rn].5f8""","=""7F<6>""","=""5f7 8S*<7/2>""","=""[""","=""20.1""","=""]""","=""0.4""","=""L13741c99""",
"=""96""","=""Cm IV""","=""+3""","=""Curium""","=""Np""","=""[Rn].5f7""","=""8S*<7/2>""","=""5f6 7F<0>""","=""[""","=""37.7""","=""]""","=""0.4""","=""L13741c99""",
"=""96""","=""Cm V""","=""+4""","=""Curium""","=""U""","=""[Rn].5f6""","=""7F0""","=""5f5 6H*<5/2>""","=""(""","=""51.0""","="")""","=""1.9""","=""L8672c99""",
"=""96""","=""Cm VI""","=""+5""","=""Curium""","=""Pa""","=""[Rn].5f5""","=""6H*<5/2>""","=""5f4 5I<4>""","=""(""","=""69.1""","="")""","=""2.0""","=""L8672c99""",
"=""96""","=""Cm VII""","=""+6""","=""Curium""","=""Th""","=""[Rn].5f4""","=""5I<4>""","=""5f5.6p4""","=""(""","=""97""","="")""","=""5""","=""L582""",
"=""96""","=""Cm VIII""","=""+7""","=""Curium""","=""Ac""","=""[Hg].5f5.6p4""","=""*""","=""5f5.6p3""","=""(""","=""112""","="")""","=""6""","=""L582""",
"=""96""","=""Cm IX""","=""+8""","=""Curium""","=""Ra""","=""[Hg].5f5.6p3""","=""""","=""5f5.6p2*""","=""(""","=""128""","="")""","=""6""","=""L582""",
"=""96""","=""Cm X""","=""+9""","=""Curium""","=""Fr""","=""[Hg].5f5.6p2""","=""*""","=""5f4.6p2""","=""(""","=""144""","="")""","=""7""","=""L582""",
"=""96""","=""Cm XI""","=""+10""","=""Curium""","=""Rn""","=""[Hg].5f4.6p2""","=""""","=""5f3.6p2*""","=""(""","=""167""","="")""","=""8""","=""L582""",
"=""96""","=""Cm XII""","=""+11""","=""Curium""","=""At""","=""[Hg].5f3.6p2""","=""*""","=""5f2.6p2""","=""(""","=""190""","="")""","=""10""","=""L582""",
"=""96""","=""Cm XIII""","=""+12""","=""Curium""","=""Po""","=""[Hg].5f2.6p2""","=""""","=""5f.6p2*""","=""(""","=""213""","="")""","=""11""","=""L582""",
"=""96""","=""Cm XIV""","=""+13""","=""Curium""","=""Bi""","=""[Hg].5f.6p2""","=""*""","=""5f.6p""","=""(""","=""235""","="")""","=""12""","=""L582""",
"=""96""","=""Cm XV""","=""+14""","=""Curium""","=""Pb""","=""[Hg].5f.6p""","=""""","=""5f 2F*<5/2>""","=""(""","=""253""","="")""","=""12""","=""L582""",
"=""96""","=""Cm XVI""","=""+15""","=""Curium""","=""Tl""","=""[Hg].5f""","=""2F*<5/2>""","=""6s2 1S<0>""","=""(""","=""272""","="")""","=""14""","=""L582""",
"=""96""","=""Cm XVII""","=""+16""","=""Curium""","=""Hg""","=""[Xe].4f14.5d10.6s2""","=""1S0""","=""6s 2S<1/2>""","=""(""","=""311""","="")""","=""3""","=""L8672c99""",
"=""96""","=""Cm XVIII""","=""+17""","=""Curium""","=""Au""","=""[Xe].4f14.5d10.6s""","=""2S<1/2>""","=""5d10 1S<0>""","=""(""","=""332""","="")""","=""3""","=""L8672c99""",
"=""96""","=""Cm XIX""","=""+18""","=""Curium""","=""Pt""","=""[Xe].4f14.5d10""","=""1S0""","=""5d9 2D<5/2>""","=""(""","=""460""","="")""","=""3""","=""L8672c99""",
"=""96""","=""Cm XX""","=""+19""","=""Curium""","=""Ir""","=""[Xe].4f14.5d9""","=""2D<5/2>""","=""5d8 3F<4>""","=""(""","=""489""","="")""","=""4""","=""L8672c99""",
"=""96""","=""Cm XXI""","=""+20""","=""Curium""","=""Os""","=""[Xe].4f14.5d8""","=""3F<4>""","=""5d7 4F<9/2>""","=""(""","=""518""","="")""","=""4""","=""L8672c99""",
"=""96""","=""Cm XXII""","=""+21""","=""Curium""","=""Re""","=""[Xe].4f14.5d7""","=""4F<9/2>""","=""5d6 5D<4>""","=""(""","=""550""","="")""","=""4""","=""L8672c99""",
"=""96""","=""Cm XXIII""","=""+22""","=""Curium""","=""W""","=""[Xe].4f14.5d6""","=""5D<4>""","=""5d5 6S<5/2>""","=""(""","=""580""","="")""","=""4""","=""L8672c99""",
"=""96""","=""Cm XXIV""","=""+23""","=""Curium""","=""Ta""","=""[Xe].4f14.5d5""","=""6S<5/2>""","=""5d4 5D<0>""","=""(""","=""611""","="")""","=""4""","=""L8672c99""",
"=""96""","=""Cm XXV""","=""+24""","=""Curium""","=""Hf""","=""[Xe].4f14.5d4""","=""5D0""","=""5d3 4F<3/2>""","=""(""","=""657""","="")""","=""4""","=""L8672c99""",
"=""96""","=""Cm XXVI""","=""+25""","=""Curium""","=""Lu""","=""[Xe].4f14.5d3""","=""4F<3/2>""","=""5d2 3F<2>""","=""(""","=""689""","="")""","=""4""","=""L8672c99""",
"=""96""","=""Cm XXVII""","=""+26""","=""Curium""","=""Yb""","=""[Xe].4f14.5d2""","=""3F<2>""","=""5d 2D<3/2>""","=""(""","=""723""","="")""","=""4""","=""L8672c99""",
"=""96""","=""Cm XXVIII""","=""+27""","=""Curium""","=""Tm""","=""[Xe].4f14.5d""","=""2D<3/2>""","=""4f14 1S<0>""","=""(""","=""755""","="")""","=""4""","=""L8672c99""",
"=""96""","=""Cm XXIX""","=""+28""","=""Curium""","=""Er""","=""[Xe].4f14""","=""1S0""","=""4f14.5p5 2P*<3/2>""","=""(""","=""910""","="")""","=""50""","=""L582""",
"=""96""","=""Cm XXX""","=""+29""","=""Curium""","=""Ho""","=""[Cd].4f14.5p5""","=""2P*<3/2>""","=""4f14.5p4 3P<2>""","=""(""","=""950""","="")""","=""50""","=""L582""",
"=""96""","=""Cm XXXI""","=""+30""","=""Curium""","=""Dy""","=""[Cd].4f14.5p4""","=""3P<2>""","=""4f14.5p3 2P*<3/2>""","=""(""","=""990""","="")""","=""50""","=""L582""",
"=""96""","=""Cm XXXII""","=""+31""","=""Curium""","=""Tb""","=""[Cd].4f14.5p3""","=""2P*<3/2>""","=""4f14.5p2 3P<0>""","=""(""","=""1030""","="")""","=""50""","=""L582""",
"=""96""","=""Cm XXXIII""","=""+32""","=""Curium""","=""Gd""","=""[Cd].4f14.5p2""","=""3P0""","=""4f14.5p 2P*<1/2>""","=""(""","=""1140""","="")""","=""60""","=""L582""",
"=""96""","=""Cm XXXIV""","=""+33""","=""Curium""","=""Eu""","=""[Cd].4f14.5p""","=""2P*<1/2>""","=""4f14 1S<0>""","=""(""","=""1180""","="")""","=""60""","=""L582""",
"=""96""","=""Cm XXXV""","=""+34""","=""Curium""","=""Sm""","=""[Cd].4f14""","=""1S0""","=""4f14.5s 2S<1/2>""","=""(""","=""1300""","="")""","=""60""","=""L582""",
"=""96""","=""Cm XXXVI""","=""+35""","=""Curium""","=""Pm""","=""[Kr].4d10.4f14.5s""","=""2S<1/2>""","=""4f14 1S<0>""","=""(""","=""1340""","="")""","=""70""","=""L582""",
"=""96""","=""Cm XXXVII""","=""+36""","=""Curium""","=""Nd""","=""[Kr].4d10.4f14""","=""1S0""","=""4f13 2F*<7/2>""","=""(""","=""1480""","="")""","=""70""","=""L582""",
"=""96""","=""Cm XXXVIII""","=""+37""","=""Curium""","=""Pr""","=""[Kr].4d10.4f13""","=""2F*<7/2>""","=""4f12""","=""(""","=""1560""","="")""","=""80""","=""L582""",
"=""96""","=""Cm XXXIX""","=""+38""","=""Curium""","=""Ce""","=""[Kr].4d10.4f12""","=""""","=""4f11 4I*<15/2>""","=""(""","=""1650""","="")""","=""80""","=""L582""",
"=""96""","=""Cm XL""","=""+39""","=""Curium""","=""La""","=""[Kr].4d10.4f11""","=""4I*<15/2>""","=""4f10 5I<8>""","=""(""","=""1730""","="")""","=""90""","=""L582""",
"=""96""","=""Cm XLI""","=""+40""","=""Curium""","=""Ba""","=""[Kr].4d10.4f10""","=""5I<8>""","=""4f9 6H*<15/2>""","=""(""","=""1810""","="")""","=""90""","=""L582""",
"=""96""","=""Cm XLII""","=""+41""","=""Curium""","=""Cs""","=""[Kr].4d10.4f9""","=""6H*<15/2>""","=""4f8 7F<6>""","=""(""","=""1890""","="")""","=""90""","=""L582""",
"=""96""","=""Cm XLIII""","=""+42""","=""Curium""","=""Xe""","=""[Kr].4d10.4f8""","=""7F<6>""","=""4f7 8S*<7/2>""","=""(""","=""1980""","="")""","=""100""","=""L582""",
"=""96""","=""Cm XLIV""","=""+43""","=""Curium""","=""I""","=""[Kr].4d10.4f7""","=""8S*<7/2>""","=""4f6 7F<0>""","=""(""","=""2060""","="")""","=""100""","=""L582""",
"=""96""","=""Cm XLV""","=""+44""","=""Curium""","=""Te""","=""[Kr].4d10.4f6""","=""7F0""","=""4f5 6H*<5/2>""","=""(""","=""2160""","="")""","=""110""","=""L582""",
"=""96""","=""Cm XLVI""","=""+45""","=""Curium""","=""Sb""","=""[Kr].4d10.4f5""","=""6H*<5/2>""","=""4f4 5I<4>""","=""(""","=""2240""","="")""","=""110""","=""L582""",
"=""96""","=""Cm XLVII""","=""+46""","=""Curium""","=""Sn""","=""[Kr].4d10.4f4""","=""5I<4>""","=""4f3 4I*<9/2>""","=""(""","=""2320""","="")""","=""120""","=""L582""",
"=""96""","=""Cm XLVIII""","=""+47""","=""Curium""","=""In""","=""[Kr].4d10.4f3""","=""4I*<9/2>""","=""4f2 3H<4>""","=""(""","=""2410""","="")""","=""120""","=""L582""",
"=""96""","=""Cm XLIX""","=""+48""","=""Curium""","=""Cd""","=""[Kr].4d10.4f2""","=""3H<4>""","=""4f 2F*<5/2>""","=""(""","=""2490""","="")""","=""120""","=""L582""",
"=""96""","=""Cm L""","=""+49""","=""Curium""","=""Ag""","=""[Kr].4d10.4f""","=""2F*<5/2>""","=""4d10 1S<0>""","=""(""","=""2580""","="")""","=""120""","=""L582""",
"=""96""","=""Cm LI""","=""+50""","=""Curium""","=""Pd""","=""[Kr].4d10""","=""1S0""","=""4d9 2D<5/2>""","=""(""","=""2976""","="")""","=""4""","=""L8672c99""",
