At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""97""","=""Bk I""","=""0""","=""Berkelium""","=""Bk""","=""[Rn].5f9.7s2""","=""6H*<15/2>""","=""5f9.7s 7H*<8>""","=""""","=""6.19785""","=""""","=""0.00025""","=""L15992""",
"=""97""","=""Bk II""","=""+1""","=""Berkelium""","=""Cm""","=""[Rn].5f9.7s""","=""7H*<8>""","=""5f9 6H*<15/2>""","=""[""","=""11.9""","=""]""","=""0.4""","=""L13741c99""",
"=""97""","=""Bk III""","=""+2""","=""Berkelium""","=""Am""","=""[Rn].5f9""","=""6H*<15/2>""","=""5f8 7F<6>""","=""[""","=""21.6""","=""]""","=""0.4""","=""L13741c99""",
"=""97""","=""Bk IV""","=""+3""","=""Berkelium""","=""Pu""","=""[Rn].5f8""","=""7F<6>""","=""5f7 8S*<7/2>""","=""[""","=""36.0""","=""]""","=""0.4""","=""L13741c99""",
"=""97""","=""Bk V""","=""+4""","=""Berkelium""","=""Np""","=""[Rn].5f7""","=""8S*<7/2>""","=""5f6 7F<0>""","=""(""","=""56.0""","="")""","=""1.9""","=""L8672c99""",
"=""97""","=""Bk VI""","=""+5""","=""Berkelium""","=""U""","=""[Rn].5f6""","=""7F0""","=""5f5 6H*<5/2>""","=""(""","=""70.1""","="")""","=""2.0""","=""L8672c99""",
"=""97""","=""Bk VII""","=""+6""","=""Berkelium""","=""Pa""","=""[Rn].5f5""","=""6H*<5/2>""","=""5f4 5I<4>""","=""(""","=""90.0""","="")""","=""2.0""","=""L8672c99""",
"=""97""","=""Bk VIII""","=""+7""","=""Berkelium""","=""Th""","=""[Rn].5f4""","=""5I<4>""","=""5f6.6p3""","=""(""","=""114""","="")""","=""6""","=""L582""",
"=""97""","=""Bk IX""","=""+8""","=""Berkelium""","=""Ac""","=""[Hg].5f6.6p3""","=""*""","=""5f6.6p2""","=""(""","=""130""","="")""","=""6""","=""L582""",
"=""97""","=""Bk X""","=""+9""","=""Berkelium""","=""Ra""","=""[Hg].5f6.6p2""","=""""","=""5f5.6p2*""","=""(""","=""147""","="")""","=""7""","=""L582""",
"=""97""","=""Bk XI""","=""+10""","=""Berkelium""","=""Fr""","=""[Hg].5f5.6p2""","=""*""","=""5f4.6p2""","=""(""","=""171""","="")""","=""9""","=""L582""",
