At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""98""","=""Cf I""","=""0""","=""Californium""","=""Cf""","=""[Rn].5f10.7s2""","=""5I<8>""","=""5f10.7s 6I<17/2>""","=""""","=""6.281878""","=""""","=""0.000006""","=""L22260""",
"=""98""","=""Cf II""","=""+1""","=""Californium""","=""Bk""","=""[Rn].5f10.7s""","=""6I<17/2>""","=""5f10 5I<8>""","=""[""","=""12.0""","=""]""","=""0.4""","=""L13741c99""",
"=""98""","=""Cf III""","=""+2""","=""Californium""","=""Cm""","=""[Rn].5f10""","=""5I<8>""","=""5f9 6H*<15/2>""","=""[""","=""22.4""","=""]""","=""0.4""","=""L13741c99""",
"=""98""","=""Cf IV""","=""+3""","=""Californium""","=""Am""","=""[Rn].5f9""","=""6H*<15/2>""","=""5f8 7F<6>""","=""[""","=""37.7""","=""]""","=""0.4""","=""L13741c99""",
"=""98""","=""Cf V""","=""+4""","=""Californium""","=""Pu""","=""[Rn].5f8""","=""7F<6>""","=""5f7 8S*<7/2>""","=""(""","=""51.9""","="")""","=""1.9""","=""L8672c99""",
"=""98""","=""Cf VI""","=""+5""","=""Californium""","=""Np""","=""[Rn].5f7""","=""8S*<7/2>""","=""5f6 7F<0>""","=""(""","=""75.0""","="")""","=""2.0""","=""L8672c99""",
"=""98""","=""Cf VII""","=""+6""","=""Californium""","=""U""","=""[Rn].5f6""","=""7F0""","=""5f5 6H*<5/2>""","=""(""","=""91.0""","="")""","=""2.0""","=""L8672c99""",
"=""98""","=""Cf VIII""","=""+7""","=""Californium""","=""Pa""","=""[Rn].5f5""","=""6H*<5/2>""","=""5f4 5I<4>""","=""(""","=""112.9""","="")""","=""2.1""","=""L8672c99""",
"=""98""","=""Cf IX""","=""+8""","=""Californium""","=""Th""","=""[Rn].5f4""","=""5I<4>""","=""5f7.6p2""","=""(""","=""133""","="")""","=""6""","=""L582""",
"=""98""","=""Cf X""","=""+9""","=""Californium""","=""Ac""","=""[Hg].5f7.6p2""","=""*""","=""5f6.6p2""","=""(""","=""152""","="")""","=""7""","=""L582""",
"=""98""","=""Cf XI""","=""+10""","=""Californium""","=""Ra""","=""[Hg].5f6.6p2""","=""""","=""5f5.6p2*""","=""(""","=""178""","="")""","=""9""","=""L582""",
"=""98""","=""Cf XII""","=""+11""","=""Californium""","=""Fr""","=""[Hg].5f5.6p2""","=""*""","=""5f4.6p2""","=""(""","=""201""","="")""","=""10""","=""L582""",
"=""98""","=""Cf XIII""","=""+12""","=""Californium""","=""Rn""","=""[Hg].5f4.6p2""","=""""","=""5f3.6p2*""","=""(""","=""225""","="")""","=""11""","=""L582""",
"=""98""","=""Cf XIV""","=""+13""","=""Californium""","=""At""","=""[Hg].5f3.6p2""","=""*""","=""5f3.6p""","=""(""","=""247""","="")""","=""12""","=""L582""",
"=""98""","=""Cf XV""","=""+14""","=""Californium""","=""Po""","=""[Hg].5f3.6p""","=""""","=""5f3*""","=""(""","=""265""","="")""","=""14""","=""L582""",
