At. num,Sp. Name,Ion Charge,El. Name,Isoel. Seq.,Ground Shells (a),Ground Level,Ionized Level,Prefix,Ionization Energy (eV),Suffix,Uncertainty (eV),References,
"=""99""","=""Es I""","=""0""","=""Einsteinium""","=""Es""","=""[Rn].5f11.7s2""","=""4I*<15/2>""","=""5f11.7s 5I*<8>""","=""""","=""6.36840""","=""""","=""0.00006""","=""L22449""",
"=""99""","=""Es II""","=""+1""","=""Einsteinium""","=""Cf""","=""[Rn].5f11.7s""","=""5I*<8>""","=""5f11 4I*<15/2>""","=""[""","=""12.2""","=""]""","=""0.4""","=""L13741c99""",
"=""99""","=""Es III""","=""+2""","=""Einsteinium""","=""Bk""","=""[Rn].5f11""","=""4I*<15/2>""","=""5f10 5I<8>""","=""[""","=""22.7""","=""]""","=""0.4""","=""L13741c99""",
"=""99""","=""Es IV""","=""+3""","=""Einsteinium""","=""Cm""","=""[Rn].5f10""","=""5I<8>""","=""5f9 6H*<15/2>""","=""[""","=""38.8""","=""]""","=""0.4""","=""L13741c99""",
"=""99""","=""Es V""","=""+4""","=""Einsteinium""","=""Am""","=""[Rn].5f9""","=""6H*<15/2>""","=""5f8 7F<6>""","=""(""","=""54.1""","="")""","=""1.9""","=""L8672c99""",
"=""99""","=""Es VI""","=""+5""","=""Einsteinium""","=""Pu""","=""[Rn].5f8""","=""7F<6>""","=""5f7 8S*<7/2>""","=""(""","=""71.0""","="")""","=""2.0""","=""L8672c99""",
"=""99""","=""Es VII""","=""+6""","=""Einsteinium""","=""Np""","=""[Rn].5f7""","=""8S*<7/2>""","=""5f6 7F<0>""","=""(""","=""97.0""","="")""","=""2.0""","=""L8672c99""",
"=""99""","=""Es VIII""","=""+7""","=""Einsteinium""","=""U""","=""[Rn].5f6""","=""7F0""","=""5f5 6H*<5/2>""","=""(""","=""112.9""","="")""","=""2.1""","=""L8672c99""",
"=""99""","=""Es IX""","=""+8""","=""Einsteinium""","=""Pa""","=""[Rn].5f5""","=""6H*<5/2>""","=""5f4 5I<4>""","=""(""","=""137.0""","="")""","=""2.2""","=""L8672c99""",
"=""99""","=""Es X""","=""+9""","=""Einsteinium""","=""Th""","=""[Rn].5f4""","=""5I<4>""","=""5f7.6p2""","=""(""","=""157""","="")""","=""7""","=""L582""",
"=""99""","=""Es XI""","=""+10""","=""Einsteinium""","=""Ac""","=""[Hg].5f7.6p2""","=""*""","=""5f6.6p2""","=""(""","=""180""","="")""","=""9""","=""L582""",
"=""99""","=""Es XII""","=""+11""","=""Einsteinium""","=""Ra""","=""[Hg].5f6.6p2""","=""""","=""5f5.6p2*""","=""(""","=""206""","="")""","=""10""","=""L582""",
"=""99""","=""Es XIII""","=""+12""","=""Einsteinium""","=""Fr""","=""[Hg].5f5.6p2""","=""*""","=""5f4.6p2""","=""(""","=""231""","="")""","=""11""","=""L582""",
"=""99""","=""Es XIV""","=""+13""","=""Einsteinium""","=""Rn""","=""[Hg].5f4.6p2""","=""""","=""5f4.6p*""","=""(""","=""252""","="")""","=""12""","=""L582""",
"=""99""","=""Es XV""","=""+14""","=""Einsteinium""","=""At""","=""[Hg].5f4.6p""","=""*""","=""5f4""","=""(""","=""270""","="")""","=""14""","=""L582""",
"=""99""","=""Es XVI""","=""+15""","=""Einsteinium""","=""Po""","=""[Hg].5f4""","=""""","=""5f3*""","=""(""","=""294""","="")""","=""15""","=""L582""",
"=""99""","=""Es XVII""","=""+16""","=""Einsteinium""","=""Bi""","=""[Hg].5f3""","=""*""","=""5f2""","=""(""","=""317""","="")""","=""16""","=""L582""",
"=""99""","=""Es XVIII""","=""+17""","=""Einsteinium""","=""Pb""","=""[Hg].5f2""","=""""","=""5f 2F*<5/2>""","=""(""","=""342""","="")""","=""17""","=""L582""",
"=""99""","=""Es XIX""","=""+18""","=""Einsteinium""","=""Tl""","=""[Hg].5f""","=""2F*<5/2>""","=""6s2 1S<0>""","=""(""","=""367""","="")""","=""19""","=""L582""",
